"","population","year","harv","cv"
"1","NorthernYukonR.andtribs.","1985",3759.4290652402,0.140912364
"2","NorthernYukonR.andtribs.","1986",6260.00206833504,0.131097544
"3","NorthernYukonR.andtribs.","1987",7779.04675419382,0.134475578
"4","NorthernYukonR.andtribs.","1988",23923.2226403362,0.127990569
"5","NorthernYukonR.andtribs.","1989",3781.55300435977,0.128515546
"6","NorthernYukonR.andtribs.","1990",10361.4534110991,0.135257381
"7","NorthernYukonR.andtribs.","1991",12929.6334014098,0.128439122
"8","NorthernYukonR.andtribs.","1992",20017.3803448457,0.143929542
"9","NorthernYukonR.andtribs.","1993",32085.9818785733,0.136226665
"10","NorthernYukonR.andtribs.","1994",31121.1205426765,0.130780246
"11","NorthernYukonR.andtribs.","1995",19127.2004118416,0.139701013
"12","NorthernYukonR.andtribs.","1996",6815.99031919972,0.130230535
"13","NorthernYukonR.andtribs.","1997",6725.09449244179,0.142866215
"14","NorthernYukonR.andtribs.","1998",8644.7036628356,0.142760007
"15","NorthernYukonR.andtribs.","1999",4191.16851156329,0.130481325
"16","NorthernYukonR.andtribs.","2000",4140.83417309593,0.136242213
"17","NorthernYukonR.andtribs.","2001",3780.30845991665,0.143071125
"18","NorthernYukonR.andtribs.","2002",8656.96490525245,0.128987366
"19","NorthernYukonR.andtribs.","2003",6067.83451053375,0.123107603
"20","NorthernYukonR.andtribs.","2004",14523.4042275327,0.128508529
"21","NorthernYukonR.andtribs.","2005",8953.67040667973,0.117971239
"22","NorthernYukonR.andtribs.","2006",11087.978784287,0.129842566
"23","NorthernYukonR.andtribs.","2007",7379.99455694744,0.131906287
"24","NorthernYukonR.andtribs.","2008",5721.76941816727,0.125255227
"25","NorthernYukonR.andtribs.","2009",2409.67650060121,0.126748405
"26","NorthernYukonR.andtribs.","2010",2145.94876916635,0.137307023
"27","NorthernYukonR.andtribs.","2011",2162.05081444991,0.125075681
"28","NorthernYukonR.andtribs.","2012",2638.98689879176,0.13842444
"29","NorthernYukonR.andtribs.","2013",100.744886225465,0.156086008
"30","NorthernYukonR.andtribs.","2014",148.794730906671,0.169597727
