stock,year,a4,a5,a6,a7,n
aggregate,1985,6,34,52,8,100
aggregate,1986,6,34,52,8,100
aggregate,1987,6,34,52,8,100
aggregate,1988,6,34,52,8,100
aggregate,1989,6,34,52,8,100
aggregate,1990,6,34,52,8,100
aggregate,1991,6,34,52,8,100
aggregate,1992,6,34,52,8,100
aggregate,1993,6,34,52,8,100
aggregate,1994,6,34,52,8,100
aggregate,1995,6,34,52,8,100
aggregate,1996,6,34,52,8,100
aggregate,1997,6,34,52,8,100
aggregate,1998,6,34,52,8,100
aggregate,1999,6,34,52,8,100
aggregate,2000,6,34,52,8,100
aggregate,2001,6,34,52,8,100
aggregate,2002,6,34,52,8,100
aggregate,2003,6,34,52,8,100
aggregate,2004,6,34,52,8,100
aggregate,2005,6,34,52,8,100
aggregate,2006,6,34,52,8,100
aggregate,2007,6,34,52,8,100
aggregate,2008,6,34,52,8,100
aggregate,2009,6,34,52,8,100
aggregate,2010,6,34,52,8,100
aggregate,2011,6,34,52,8,100
aggregate,2012,6,34,52,8,100
aggregate,2013,6,34,52,8,100
aggregate,2014,6,34,52,8,100
aggregate,2015,6,34,52,8,100
aggregate,2016,6,34,52,8,100
aggregate,2017,6,34,52,8,100
aggregate,2018,6,34,52,8,100
aggregate,2019,6,34,52,8,100
aggregate,2020,6,34,52,8,100
aggregate,2021,6,34,52,8,100
aggregate,2022,6,34,52,8,100
aggregate,2023,6,34,52,8,100
