year,estimate,system,system_alt,type,CU,hatch_contrib,pni,comments
1978,524,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1979,632,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1980,1436,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1981,2411,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1982,758,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1983,540,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1984,1044,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1985,801,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1986,745,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1987,891,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1988,765,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1989,1662,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1990,1806,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1991,1040,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1992,617,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1993,572,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1994,1764,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1995,1314,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1996,2565,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1997,1345,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1998,523,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
1999,353,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2000,113,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2001,1020,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2002,1149,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2003,3075,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2004,762,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2005,952,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2006,1140,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2007,601,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2008,303,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2009,1827,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2010,656,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2011,405,bigsalmon,Big Salmon,aerial,BigSalmonR,,,
2005,5618,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2006,7308,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2007,4506,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2008,1329,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2009,9261,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
2010,3817,bigsalmon,Big Salmon,sonar,BigSalmonR,,,
