Border,,,,CU
,Chandindu River,2001,158,Northern
,Klondike River,"2001, 2003",80,Northern
Pelly,,,,
,Mayo River,"1997, 2003",62,Stewart
,Stewart River,1997,99,Stewart
,Blind Creek,"1997, 2003",139,Pelly
,Pelly River,"1996, 1997",150,Pelly
Carmacks,,,,
,Little Salmon,"1987, 1997",100,Middle
,Big Salmon,"1987, 1997",119,Big_Salmon
,Tatchun Creek,"1987, 1997, 2002, 2003",169,Middle
,Nordenskiold River,2003,56,Nordenskiold
,Nisutlin River,"1987, 1997",56,Teslin
Takhini,,,,
,Takhini River,"1997, 2003",101,Upper
,Whitehorse Hatchery,"1985, 1987, 1997",242,Upper
,,Total,"3,649",
