"Year","four","five","six","seven"
1981,0.0497614533933207,0.161529898522837,0.447754012537112,0.34095463554673
1982,0.0497614533933207,0.161529898522837,0.447754012537112,0.34095463554673
1983,0.0102377701023777,0.213720246137202,0.636573406365734,0.139468577394686
1984,0.00947641551197108,0.137533285292543,0.642514800264814,0.210475498930672
1985,0.00871506092156445,0.0613463244478831,0.648456194163894,0.281482420466658
1986,0.00326561108490589,0.0893368713227587,0.591920415389931,0.315477102202405
1987,0.00252990891145319,0.0508142132215025,0.766740773164073,0.179915104702971
1988,0.014179777489528,0.149243094627249,0.269846090285541,0.566731037597683
1989,0.029823912186272,0.18969375975489,0.574134911332429,0.206347416726408
1990,0.0459131203357222,0.210764448374768,0.646486248188917,0.0968361831005933
1991,0.0160927187080243,0.28574564563159,0.481226609515363,0.216935026145023
1992,0.0713135689581063,0.17254239398503,0.723705595923027,0.0324384411338361
1993,0.0537364579780213,0.285440988289172,0.545698210817462,0.115124342915345
1994,0.022622072745252,0.29149774732644,0.541034402146886,0.144845777781422
1995,0.06138601611055,0.130915246797003,0.685766076693487,0.12193266039896
1996,0.0328725756534093,0.460470743593449,0.321156868097247,0.185499812655894
1997,0.0412235772398662,0.122794351206471,0.803888646904877,0.0320934246487862
1998,0.0517358449945395,0.436024857565458,0.399062859406162,0.113176438033841
1999,0.0149363832637952,0.177403135415759,0.787125251088049,0.0205352302323964
2000,0.063995934967748,0.256187878883649,0.538370933378998,0.141445252769606
2001,0.019137736090851,0.249778231237359,0.606812434588309,0.124271598083481
2002,0.0767517676964764,0.250681125338507,0.530527531265134,0.142039575699883
2003,0.0118720374026752,0.288380607790872,0.628998833666067,0.0707485211403862
2004,0.048258998565669,0.201923201182691,0.697680293720877,0.0521375065307624
2005,0.0222338123846995,0.314001706119593,0.605335394482534,0.058429087013174
2006,0.0472713851199114,0.511650088768906,0.43039712840621,0.0106813977049722
2007,0.056,0.401,0.538,0.005
2008,0.024,0.566,0.365,0.045
2009,0.07728,0.332303,0.590417,0
2010,0.073964073964074,0.461538461538462,0.423077423077423,0.0414200414200414
2011,0.021635,0.295673,0.603365,0.079327
2012,0.0687056432936395,0.295584873522688,0.591169747045377,0.0445397361382958
2013,0.042,0.275,0.634,0.049
2014,0.0691927515431498,0.504118616103857,0.400329489288309,0.0263591430646847
2015,0.113659022931206,0.342971086739781,0.521435692921236,0.0219341974077767
2016,0.092369478,0.65060241,0.25167336,0.005354752
2017,0.0444444456871605,0.463888888128835,0.480555554762214,0.0111111114217901
2018,0.102710414,0.430813124,0.44935806,0.017118402
2019,0.084837545,0.483754513,0.418772563,0.012635379
2020,0.056074765497336,0.383177570550332,0.528037383746331,0.0327102802060005
2021,0.021406728,0.452599388,0.486238532,0.039755352
2022,0.0583333330583333,0.416666667416667,0.483333333483333,0.0416666660416667
2023,0.0322580649677419,0.529032257470968,0.380645161619355,0.0580645159419355
2024,0.117647058882353,0.459893047540107,0.401069518598931,0.0213903749786096
