year,per_cont
2013,0.005103737
2014,0.012338777
2015,0.015327865
2016,0.011587913
2017,0.014
2018,0.011461147
2019,0.000137907
2020,0.000855454
2021,0.00020708
2022,0.014978636
2023,0.001158
