"Sample.Year","Sex","age_4","age_5","age_6","age_7"
1985,"female",528.22180846832,713.855801500584,805.409461792559,890.568875185723
1986,"female",528.22180846832,717.328305774491,826.244813532059,892.209803775572
1987,"female",800.633473722541,728.839633433952,840.673342021218,904.604898193015
1988,"female",800.633473722541,793.755905767989,830.174245388002,905.62750779694
1989,"female",800.633473722541,804.06306480169,833.124903910153,877.802279143669
1990,"female",633.439748295986,744.185380107175,833.124903910153,877.802279143669
1991,"female",699.195601008062,746.538688079397,832.389085551093,897.689660696561
1992,"female",769.039840566509,817.143659497988,838.885056914964,856.07737756951
1993,"female",540.246,817.143659497988,848.357446948413,905.335700767887
1994,"female",653.674839627606,756.810545302942,848.357446948413,886.151612227174
1995,"female",653.674839627606,788.363103366272,832.415201017295,873.119592870077
1996,"female",619.716197614917,729.31388777136,824.16732549337,876.134258680407
1997,"female",881.543010130292,791.342291218863,833.880180681096,896.69755247106
1998,"female",840.331539283523,754.237134697936,804.032218206707,836.597537500451
1999,"female",757.532997194912,754.237134697936,804.032218206707,768.093790892401
2000,"female",757.532997194912,773.394951722552,795.765436234185,863.243034285381
2001,"female",543.990976907603,721.609059030317,813.095900885868,822.726474362461
2002,"female",543.990976907603,721.977770593081,807.941846937746,887.484076178446
2003,"female",643.579857147751,794.719912145033,854.779883194784,897.190434447564
2004,"female",764.746,773.521570787005,850.323177866804,922.017664977287
2005,"female",764.746,767.756596048102,824.26166864398,872.757284937456
2006,"female",764.746,789.768462947519,823.130630331135,937.735027439406
2007,"female",602.5,777,853.55,900
2008,"female",NA,756.71875,856.358695652174,865
2009,"female",NA,823.04347826087,845.858369098713,865
2010,"female",NA,764.027777777778,838.258426966292,874.545454545455
2011,"female",575,725.892857142857,863.01226993865,844.782608695652
2012,"female",NA,770.133333333333,838.020408163265,863.111111111111
2013,"female",NA,751.190476190476,850.140186915888,891.444444444444
2014,"female",NA,747.714285714286,843.025157232704,864
2015,"female",NA,781.138888888889,839.617940199336,876.411764705882
2016,"female",NA,787.10101010101,845.725663716814,841.25
2017,"female",NA,785.908163265306,850.242307692308,806.5
2018,"female",678,762.623188405797,833.587443946188,870
2019,"female",NA,759.307692307692,836.840236686391,858.2
2020,"female",571.714285714286,733.483333333333,831.472392638037,884.25
2021,"female",NA,752.625,813.955752212389,842.4
2022,"female",769,761.571428571429,832.97619047619,864.333333333333
2023,"female",NA,745,829.774193548387,865.25
2024,"female",NA,755.727272727273,823.58,797.5
