stock,year,mean,lower,upper,cv
NorthernYukonR.andtribs.,1985,2135,1250,3020,0.21
NorthernYukonR.andtribs.,1986,5343,3588,7098,0.16
NorthernYukonR.andtribs.,1987,3797,2757,4837,0.14
NorthernYukonR.andtribs.,1988,2066,223,3909,0.45
NorthernYukonR.andtribs.,1989,6841,1943,11740,0.36
NorthernYukonR.andtribs.,1990,10576,1251,19901,0.44
NorthernYukonR.andtribs.,1991,15717,13716,17718,0.06
NorthernYukonR.andtribs.,1992,9926,7583,12270,0.12
NorthernYukonR.andtribs.,1993,10087,7457,12717,0.13
NorthernYukonR.andtribs.,1994,10094,8135,12053,0.10
NorthernYukonR.andtribs.,1995,13494,11177,15811,0.09
NorthernYukonR.andtribs.,1996,7037,4881,9193,0.15
NorthernYukonR.andtribs.,1997,9985,7682,12287,0.12
NorthernYukonR.andtribs.,1998,4914,2107,7720,0.29
NorthernYukonR.andtribs.,1999,3865,2835,4895,0.13
NorthernYukonR.andtribs.,2000,6118,4328,7908,0.15
NorthernYukonR.andtribs.,2001,8944,5637,12252,0.18
NorthernYukonR.andtribs.,2002,6020,4710,7331,0.11
NorthernYukonR.andtribs.,2003,15290,12982,17599,0.08
NorthernYukonR.andtribs.,2004,11109,8886,13333,0.10
NorthernYukonR.andtribs.,2005,14910,11819,18002,0.10
NorthernYukonR.andtribs.,2006,11528,7915,15140,0.16
NorthernYukonR.andtribs.,2007,4829,3417,6241,0.15
NorthernYukonR.andtribs.,2008,5363,4662,6064,0.07
NorthernYukonR.andtribs.,2009,7366,6086,8645,0.09
NorthernYukonR.andtribs.,2010,3632,1995,5270,0.23
NorthernYukonR.andtribs.,2011,4434,3697,5171,0.08
NorthernYukonR.andtribs.,2012,4499,3173,5824,0.15
NorthernYukonR.andtribs.,2013,6092,5687,6498,0.03
NorthernYukonR.andtribs.,2014,5465,4108,6823,0.12
NorthernYukonR.andtribs.,2015,7122,5954,8290,0.08
NorthernYukonR.andtribs.,2016,7380,5974,8785,0.10
NorthernYukonR.andtribs.,2017,6461,4950,7973,0.12
NorthernYukonR.andtribs.,2018,5381,4049,6714,0.12
NorthernYukonR.andtribs.,2019,2639,1723,3556,0.17
NorthernYukonR.andtribs.,2020,5727,4925,6529,0.07
NorthernYukonR.andtribs.,2021,3231,2364,4098,0.13
NorthernYukonR.andtribs.,2022,663,293,1033,0.28
NorthernYukonR.andtribs.,2023,2080,1224,2935,0.21
NorthernYukonR.andtribs.,2024,2823,1967,3678,0.15
Whiteandtribs.,1985,2326,1401,3251,0.20
Whiteandtribs.,1986,5508,3651,7365,0.17
Whiteandtribs.,1987,2075,1387,2763,0.17
Whiteandtribs.,1988,4506,3360,5652,0.13
Whiteandtribs.,1989,876,258,1494,0.35
Whiteandtribs.,1990,4545,2601,6488,0.21
Whiteandtribs.,1991,1215,433,1997,0.32
Whiteandtribs.,1992,4466,2883,6049,0.18
Whiteandtribs.,1993,8059,5511,10608,0.16
Whiteandtribs.,1994,6935,5291,8579,0.12
Whiteandtribs.,1995,4281,2668,5894,0.19
Whiteandtribs.,1996,10279,7730,12828,0.12
Whiteandtribs.,1997,4962,2928,6996,0.20
Whiteandtribs.,1998,3913,782,7043,0.40
Whiteandtribs.,1999,3189,2228,4151,0.15
Whiteandtribs.,2000,6015,4149,7882,0.16
Whiteandtribs.,2001,5392,2973,7811,0.22
Whiteandtribs.,2002,2542,1561,3522,0.19
Whiteandtribs.,2003,4089,2520,5658,0.19
Whiteandtribs.,2004,3390,1812,4969,0.23
Whiteandtribs.,2005,6236,4054,8418,0.17
Whiteandtribs.,2006,3282,1016,5547,0.35
Whiteandtribs.,2007,3050,1880,4220,0.19
Whiteandtribs.,2008,2028,1452,2603,0.14
Whiteandtribs.,2009,3346,2447,4245,0.13
Whiteandtribs.,2010,1174,99,2249,0.46
Whiteandtribs.,2011,2365,1696,3034,0.14
Whiteandtribs.,2012,2870,1773,3967,0.19
Whiteandtribs.,2013,2312,2016,2607,0.06
Whiteandtribs.,2014,5037,3729,6346,0.13
Whiteandtribs.,2015,4743,3685,5802,0.11
Whiteandtribs.,2016,2570,1547,3594,0.20
Whiteandtribs.,2017,3337,2204,4470,0.17
Whiteandtribs.,2018,2804,1759,3850,0.19
Whiteandtribs.,2019,2437,1560,3314,0.18
Whiteandtribs.,2020,1648,862,2434,0.24
Whiteandtribs.,2021,1314,683,1944,0.24
Whiteandtribs.,2022,88,10,237,0.64
Whiteandtribs.,2023,955,313,1597,0.34
Whiteandtribs.,2024,779,12,1546,0.49
Pelly,1985,7916,6213,9618,0.11
Pelly,1986,14497,11479,17514,0.10
Pelly,1987,8699,7198,10199,0.09
Pelly,1988,5475,1757,9193,0.34
Pelly,1989,6371,240,12502,0.48
Pelly,1990,14921,2823,27020,0.41
Pelly,1991,9993,8017,11969,0.10
Pelly,1992,14043,11190,16896,0.10
Pelly,1993,5658,4311,7005,0.12
Pelly,1994,6427,4981,7872,0.11
Pelly,1995,8341,6127,10556,0.13
Pelly,1996,7491,5456,9526,0.14
Pelly,1997,9213,6768,11659,0.13
Pelly,1998,6951,2898,11003,0.29
Pelly,1999,5169,3955,6382,0.12
Pelly,2000,10554,8241,12867,0.11
Pelly,2001,11068,6111,16024,0.22
Pelly,2002,4189,3082,5296,0.13
Pelly,2003,11654,9535,13773,0.09
Pelly,2004,8931,7080,10782,0.10
Pelly,2005,16258,13094,19422,0.10
Pelly,2006,13513,9784,17242,0.14
Pelly,2007,7697,6048,9345,0.11
Pelly,2008,4125,3570,4681,0.07
Pelly,2009,16141,14427,17856,0.05
Pelly,2010,7902,6464,9339,0.09
Pelly,2011,8664,7634,9694,0.06
Pelly,2012,6444,4937,7951,0.12
Pelly,2013,3564,2715,4413,0.12
Pelly,2014,6700,5815,7584,0.07
Pelly,2015,16753,15137,18368,0.05
Pelly,2016,13515,11570,15459,0.07
Pelly,2017,8616,7222,10010,0.08
Pelly,2018,7368,5797,8940,0.11
Pelly,2019,4625,4406,4845,0.02
Pelly,2020,5738,4979,6498,0.07
Pelly,2021,5703,5309,6097,0.03
Pelly,2022,2307,2208,2405,0.02
Pelly,2023,1866,1045,2687,0.22
Pelly,2024,1644,1186,2103,0.14
Stewart,1985,5600,4147,7053,0.13
Stewart,1986,7079,4903,9256,0.15
Stewart,1987,2290,1485,3095,0.18
Stewart,1988,1894,10,4263,0.56
Stewart,1989,2256,10,5608,0.62
Stewart,1990,3126,10,7915,0.63
Stewart,1991,3352,2205,4499,0.17
Stewart,1992,3025,1662,4387,0.23
Stewart,1993,1191,590,1793,0.25
Stewart,1994,3158,2131,4184,0.16
Stewart,1995,6700,4720,8681,0.15
Stewart,1996,2898,1771,4025,0.19
Stewart,1997,7400,6013,8788,0.09
Stewart,1998,13106,11301,14912,0.07
Stewart,1999,2022,1274,2771,0.19
Stewart,2000,2766,1580,3953,0.21
Stewart,2001,4560,1584,7537,0.33
Stewart,2002,2640,1748,3532,0.17
Stewart,2003,1448,745,2151,0.24
Stewart,2004,2426,1462,3390,0.20
Stewart,2005,2705,1270,4139,0.27
Stewart,2006,2975,1475,4476,0.25
Stewart,2007,9645,8145,11144,0.08
Stewart,2008,1791,1340,2242,0.13
Stewart,2009,5069,3980,6159,0.11
Stewart,2010,2182,887,3476,0.30
Stewart,2011,7020,5476,8563,0.11
Stewart,2012,609,80,1138,0.43
Stewart,2013,969,496,1441,0.24
Stewart,2014,2160,1570,2750,0.14
Stewart,2015,5154,4064,6245,0.11
