stock,Year,Total run,Escapement,Harvest,Harvest rate (%),Harvest CV
Canadian,1981,194961.5646,106281.8045,88679.7601,45.82388528,0.140912364
Canadian,1982,163100.4346,36243.55424,126856.8804,77.62661969,0.131097544
Canadian,1983,183906.9615,56152.47343,127754.4881,69.3534586,0.134475578
Canadian,1984,138446.7941,68931.35724,69515.4369,50.58734833,0.127990569
Canadian,1985,157689.9426,39518.40024,118171.5424,74.76489447,0.140912364
Canadian,1986,176468.02,50493.53109,125974.4889,71.30357299,0.131097544
Canadian,1987,177744.3111,34240.39774,143503.9134,80.57318355,0.134475578
Canadian,1988,159524.498,49113.44863,110411.0493,69.17852176,0.127990569
Canadian,1989,166704.0727,61021.28105,105682.7917,63.36093249,0.128515546
Canadian,1990,179393.2531,86489.3366,92903.91654,51.84831138,0.135257381
Canadian,1991,142804.7706,52397.41936,90407.35128,63.28430117,0.128439122
Canadian,1992,180950.3679,46369.07364,134581.2943,74.32870035,0.143929542
Canadian,1993,158954.1818,56038.7376,102915.4442,64.70875292,0.136226665
Canadian,1994,193971.2449,64912.90592,129058.339,66.46798937,0.130780246
Canadian,1995,217203.54,71115.10697,146088.433,67.12925048,0.139701013
Canadian,1996,196012.276,77020.35401,118991.922,60.68612387,0.130230535
Canadian,1997,199952.7689,84339.2866,115613.4823,57.70578497,0.142866215
Canadian,1998,97281.45591,35965.81752,61315.63839,62.94031026,0.142760007
Canadian,1999,124337.6036,46946.01481,77391.58881,62.24525051,0.130481325
Canadian,2000,54110.33541,21909.44214,32200.89326,59.59736774,0.136242213
Canadian,2001,104227.3102,69423.36171,34803.94846,33.7427825,0.143071125
Canadian,2002,93991.08524,48397.20937,45593.87587,48.52174736,0.128987366
Canadian,2003,173361.8194,95243.31944,78118.49993,45.01482257,0.123107603
Canadian,2004,127303.4401,56069.4116,71234.02851,55.84718627,0.128508529
Canadian,2005,131942.2938,69344.06799,62598.2258,47.29573787,0.117971239
Canadian,2006,126966.7117,64371.81852,62594.89313,49.1053524,0.129842566
Canadian,2007,92909.12883,36207.20802,56701.92082,60.78844986,0.131906287
Canadian,2008,69729.75123,33921.92982,35807.82141,51.15948488,0.125255227
Canadian,2009,86771.09705,65020.17492,21750.92213,25.00244195,0.126748405
Canadian,2010,62615.32751,32215.12502,30400.20249,48.3292405,0.137307023
Canadian,2011,70606.4232,47015.23601,23591.18719,33.31166555,0.125075681
Canadian,2012,51612.68662,32323.37208,19289.31454,37.21468584,0.13842444
Canadian,2013,39640.43277,28509.3191,11131.11367,27.95311389,0.156086008
Canadian,2014,65127.73637,63391.56876,1736.167611,2.663816379,0.169597727
Canadian,2015,88355.12164,82685.36586,5669.755786,6.411304082,0.128993897
Canadian,2016,83688.37176,69235.45592,14452.91583,17.23135623,0.133122712
Canadian,2017,99776.40288,69382.94539,30393.45748,30.30800642,0.158203776
Canadian,2018,76862.67537,54569.57139,22293.10398,28.90678162,0.132341508
