"age_4","age_5","age_6","age_7"
2492.63187540541,5073.78868072358,6745.4524827808,8551.19757595458
2492.63187540541,5132.2288821283,7164.53901995493,8588.42860486012
6651.43338218272,5328.72227546247,7463.31861387853,8872.67752478703
6651.43338218272,6517.3772318985,7245.21129013978,8896.36677930386
6651.43338218272,6718.87060670315,7306.13152654653,8264.71406031935
3826.80336174566,5597.30647249129,7306.13152654653,8264.71406031935
4831.30563956279,5639.16866323813,7290.9120710999,8713.43704006784
6048.54437999735,6979.68576893901,7425.90540421428,7790.0875694017
2628.61930170502,6979.68576893901,7625.31447916966,8889.60321438682
4121.59567610638,5823.99969412955,7625.31447916966,8451.43715290264
4121.59567610638,6413.36055351042,7291.45192287661,8161.04218853276
3634.01512899825,5336.90893173383,7122.09787569101,8227.69860494676
8348.0739112513,6470.70407134659,7321.77247814884,8690.72752469228
7456.15928746593,5777.37131511896,6718.26231195194,7378.2054495307
5837.12885464845,5777.37131511896,6718.26231195194,6030.99892709178
5837.12885464845,6129.69346212159,6556.38397818159,7944.84970286228
2671.82502880807,5204.80275497761,6898.36535409249,7092.74793911037
2671.82502880807,5211.0811977279,6795.61323383387,8481.45875868066
3972.95253380015,6536.07270097182,7762.25206722089,8702.00540281787
5969.14647612342,6132.06209020749,7667.07817201172,9281.03096239826
5969.14647612342,6024.75240519511,7124.02206912415,8153.05232837433
5969.14647612342,6440.37431543166,7100.97349222223,9658.74583561614
3088.75533453976,4253.52412394964,7735.92004160026,8766.45349261007
3083.88165745128,4053.43353013363,7796.13033864128,7575.40171000395
3137.70228214743,5538.40825323444,7572.40906030266,7575.40171000395
3023.69501086736,5431.57004585579,7412.82113503522,8192.53006640157
3104.09157771744,3784.79364547139,7939.83835711958,7549.7005690515
2974.90521398042,3784.01025941507,7407.85469720821,7941.98459771055
2984.50920035048,3746.67983422014,7607.72686370746,8571.05176805935
3035.89608920617,4081.66871887446,7483.92846083444,7961.30098413888
3068.79719380814,4606.9168047675,7441.22515595494,8233.85017062477
3129.09720779733,5279.26367210581,7528.21699360087,7475.40614369464
3009.55102785145,4689.93519130962,7665.3574204585,6767.02729370883
3094.62170794869,4424.65943390464,7315.70793453621,8092.39451506959
3131.75740139401,5335.34315114313,7383.25787775538,7835.74862119896
3051.88422531571,4449.32202328989,7271.97703874631,8408.69833904037
2792.81826406263,5268.21645321708,6915.59403463334,7499.54535879039
2983.42661225996,3522.74477831488,7303.05410593906,7968.5516012983
2994.22107879543,5181.69827522102,7236.97431515117,7988.51041376152
3010.53305350927,4384.79700822344,7110.12570463404,6590.1612831498
