"year","Escapement","lwr","upr"
1981,102321.998355504,68357.5374707451,156838.050649496
1982,35377.1397569708,23539.4810681854,51024.6560625605
1983,55475.584623673,39264.2211170313,72098.6833245845
1984,66494.5644350701,42336.7802049455,102706.865137185
1985,38834.0183461845,27661.1324992248,54130.8395181064
1986,49034.0370205329,35989.6878036203,72989.7107900881
1987,33652.475311546,23828.8595722322,46117.4161148477
1988,49179.0856711536,33036.9228483938,67067.5770974162
1989,60363.2996936003,41832.174225031,78729.446054698
1990,85401.8389025306,59678.7267271913,113836.035467929
1991,52359.9600176793,35427.8858598184,68884.9618573716
1992,45667.3131609796,27327.2664377937,63658.8226222486
1993,55379.4086867614,35990.1291808425,74006.8170298301
1994,63731.3103241819,46094.0503724505,85633.436572464
1995,70285.8693331208,48989.9437376755,92884.3618579583
1996,76009.0872242369,56294.0895526896,106405.151421686
1997,83226.124706583,63837.0786880905,107424.918419889
1998,35615.511834068,25729.7974630112,47660.3901415551
1999,46553.5447154244,33204.1562409144,66997.5051674338
2000,21113.5761532052,14393.7393976306,30562.5636608895
2001,68308.0961944094,46919.2534035528,97022.0416976043
2002,48633.0408018552,36410.1607846146,60768.98986935
2003,94846.7493271944,78338.508335608,113029.64989554
2004,55585.1681321625,44808.1915217585,67686.878057708
2005,69606.3167779353,63457.3304346317,73426.8050049395
2006,64493.9522940167,60168.1219126788,67402.9425046367
2007,36300.1998308146,33954.6958609293,38023.2710563806
2008,34030.8685468121,31968.7905002013,35272.5877400681
2009,65151.7042072937,62907.3690778549,66651.8363239885
2010,32274.431508729,30921.841887828,33159.516221259
2011,47111.0279755496,44757.0011707539,48830.5682839527
2012,32364.5040468075,31232.758981324,33231.560485341
2013,28512.6839071216,27369.0665366171,29302.9050270838
2014,63361.604883825,62548.4148128745,64150.8770536457
2015,82663.6816421275,81559.5514260607,83737.9553511646
2016,69174.9024124562,67638.957881106,70583.1505620771
2017,69428.8844278073,67613.2657722117,70878.1892100877
2018,54594.2663202501,52973.4051900593,55825.1566170113
2019,42231.559416629,40435.6031420143,43532.6327472822
2020,30725.2315128955,29287.8710680797,31870.0634685154
2021,31509.3455207896,31099.2251016321,31903.5827689171
2022,12009.0477127001,11770.8029590824,12248.0898149625
2023,14569.420827965,14318.7276886382,14858.7765929802
2024,24172.8997716024,23836.75746094,24514.192596515
