"year","sex","age","mean_fl","count","source"
1982,"female",4,531.176669939777,9,"FishWheel"
1982,"female",5,754.01554780519,11,"FishWheel"
1982,"female",6,834.524842481207,16,"FishWheel"
1982,"female",7,892.782588822973,8,"FishWheel"
1982,"female",8,926.386,2,"FishWheel"
1982,"male",4,547.355634404803,43,"FishWheel"
1982,"male",5,781.448381911027,24,"FishWheel"
1982,"male",6,950.749182476198,10,"FishWheel"
1982,"male",7,959.846819078975,3,"FishWheel"
1983,"female",4,531.266,1,"FishWheel"
1983,"female",5,801.630786493664,24,"FishWheel"
1983,"female",6,851.33261601522,83,"FishWheel"
1983,"female",7,869.046995167637,20,"FishWheel"
1983,"male",4,555.159608717001,43,"FishWheel"
1983,"male",5,730.27041655689,155,"FishWheel"
1983,"male",6,882.968230956908,104,"FishWheel"
1983,"male",7,939.98561862505,12,"FishWheel"
1983,"male",8,773.726,1,"FishWheel"
1985,"female",5,713.855801500584,21,"FishWheel"
1985,"female",6,805.409461792559,199,"FishWheel"
1985,"female",7,890.568875185723,39,"FishWheel"
1985,"female",8,836.586,1,"FishWheel"
1985,"male",4,504.43802354491,71,"FishWheel"
1985,"male",5,663.047189159248,126,"FishWheel"
1985,"male",6,802.184899142313,230,"FishWheel"
1985,"male",7,968.358065103185,29,"FishWheel"
1986,"female",4,528.22180846832,3,"FishWheel"
1986,"female",5,717.328305774491,59,"FishWheel"
1986,"female",6,826.244813532059,336,"FishWheel"
1986,"female",7,892.209803775572,112,"FishWheel"
1986,"male",4,508.664506599643,49,"FishWheel"
1986,"male",5,684.393918253084,288,"FishWheel"
1986,"male",6,857.73405035632,223,"FishWheel"
1986,"male",7,962.798779294254,42,"FishWheel"
1987,"female",5,728.839633433952,5,"FishWheel"
1987,"female",6,840.673342021218,212,"FishWheel"
1987,"female",7,904.604898193015,30,"FishWheel"
1987,"female",8,926.386,1,"FishWheel"
1987,"male",4,524.185254026574,21,"FishWheel"
1987,"male",5,702.101499189654,91,"FishWheel"
1987,"male",6,876.986319325636,138,"FishWheel"
1987,"male",7,958.2799884562,16,"FishWheel"
1987,"male",8,989.246,1,"FishWheel"
1988,"female",5,793.755905767989,12,"FishWheel"
1988,"female",6,830.174245388002,42,"FishWheel"
1988,"female",7,905.62750779694,57,"FishWheel"
1988,"female",8,863.9312054547,7,"FishWheel"
1988,"male",4,564.513893211162,54,"FishWheel"
1988,"male",5,726.552504514378,120,"FishWheel"
1988,"male",6,877.481363038251,36,"FishWheel"
1988,"male",7,988.517585270549,17,"FishWheel"
1988,"male",8,989.246,1,"FishWheel"
1989,"female",4,800.633473722541,10,"FishWheel"
1989,"female",5,804.06306480169,52,"FishWheel"
1989,"female",6,846.810305635687,185,"FishWheel"
1989,"female",7,902.298231841406,38,"FishWheel"
1989,"female",8,827.606,1,"FishWheel"
1989,"male",3,540.246,1,"FishWheel"
1989,"male",4,839.690279148297,44,"FishWheel"
1989,"male",5,767.651297438866,177,"FishWheel"
1989,"male",6,874.558454478346,106,"FishWheel"
1989,"male",7,990.566664271032,22,"FishWheel"
1989,"male",8,762.226250629301,2,"FishWheel"
1990,"female",4,633.439748295986,7,"FishWheel"
1990,"female",5,744.185380107175,57,"FishWheel"
1990,"female",6,833.124903910153,210,"FishWheel"
1990,"female",7,877.802279143669,20,"FishWheel"
1990,"male",3,468.406,1,"FishWheel"
1990,"male",4,567.301809368904,265,"FishWheel"
1990,"male",5,715.755284284636,285,"FishWheel"
1990,"male",6,877.389352475682,92,"FishWheel"
1990,"male",7,928.293917252805,8,"FishWheel"
