"","alpha_1","beta_1","alpha_2","beta_2","alpha_3","beta_3","alpha_4","beta_4","alpha_5","beta_5","alpha_6","beta_6","alpha_7","beta_7","alpha_8","beta_8","alpha_9","beta_9","pi_1","pi_2","pi_3","pi_4","phi","for_error","OU","ny","nstk","nsim"
"25%",1.25846366972907,0.00014218900392313,1.29748962018729,5.08718968522928e-05,6.12207849815988,0.000607072235442653,1.02595608372807,0.000124435650175699,0.947948541305318,6.27298081313813e-05,1.72220824374117,0.000231021161371547,1.7305411499683,0.000171510892191425,1.05843680350838,0.000156302392595323,3.47962995453309,0.000198786178446965,0.0838989587874955,0.33855369494092,0.480869811020051,0.0766061626400294,0.75,0.79,0.1,34,9,1000
"50%",1.56457549042493,0.000171786175068878,1.63788979359704,6.28077326064096e-05,8.05542683670558,0.000673812601087652,1.18377992477064,0.000140680655086956,1.12225911832894,7.41863119849018e-05,2.18353997083963,0.000277916281023772,2.10053496242902,0.000199713533163245,1.23718977666791,0.000180281163867377,4.4331742944474,0.000223419919123976,0.0871236228195342,0.344413064063817,0.487333060928648,0.0797179896388412,0.75,0.79,0.1,34,9,1000
"75%",1.96727750816959,0.000199588030283221,2.10308995498079,7.52811399363706e-05,10.5608918197493,0.000747383853685891,1.37452251578977,0.000157760099574225,1.35556330041281,8.64974781377365e-05,2.76075543756014,0.000323561998865061,2.55530424156772,0.000227001833670489,1.46682946480192,0.000206066074776754,5.58434287566929,0.000247472852884467,0.0906476329835309,0.350531553940823,0.493734747504863,0.0829867615720591,0.75,0.79,0.1,34,9,1000
"",1.65789375420612,0.000171550769823026,1.77002066566913,6.32330052621757e-05,8.71320219059619,0.0006768100316793,1.22763620247818,0.000141478972716781,1.17610925947263,7.49034089030721e-05,2.31594564668974,0.000277368745597696,2.19702112404583,0.000199750254743451,1.29280889060377,0.000182026923086962,4.6732290373272,0.000223079348103452,0.0872639877598228,0.344519582654073,0.487255676689602,0.0798755905343153,0.75,0.79,0.1,34,9,1000
