cu,year,mean,lower,upper,cv,dispersion
NorthernYukonR.andtribs.,1985,2149.310619,1260.134143,3038.487096,0.206851552,0.02
NorthernYukonR.andtribs.,1986,5279.177164,3548.016601,7010.337727,0.163961211,0.02
NorthernYukonR.andtribs.,1987,3307.233367,2429.051256,4185.415479,0.13276688,0.02
NorthernYukonR.andtribs.,1988,5755.942925,4331.589055,7180.296795,0.123728978,0.02
NorthernYukonR.andtribs.,1989,1807.549363,584.0466158,3031.052111,0.338442416,0.02
NorthernYukonR.andtribs.,1990,7918.054632,5499.617301,10336.49196,0.152716636,0.02
NorthernYukonR.andtribs.,1991,15827.64251,13871.61805,17783.66696,0.061791402,0.02
NorthernYukonR.andtribs.,1992,9918.885859,7578.450697,12259.32102,0.117978732,0.02
NorthernYukonR.andtribs.,1993,10032.05555,7389.994188,12674.11691,0.131680957,0.02
NorthernYukonR.andtribs.,1994,10067.30066,8118.216154,12016.38516,0.096802736,0.02
NorthernYukonR.andtribs.,1995,13515.21267,11200.36938,15830.05596,0.085638434,0.02
NorthernYukonR.andtribs.,1996,7106.71471,4938.851861,9274.577559,0.152522152,0.02
NorthernYukonR.andtribs.,1997,9944.151859,7648.850169,12239.45355,0.115409626,0.02
NorthernYukonR.andtribs.,1998,4943.357121,2186.47745,7700.236791,0.278846905,0.02
NorthernYukonR.andtribs.,1999,3872.494873,2841.169768,4903.819979,0.133160293,0.02
NorthernYukonR.andtribs.,2000,6136.575757,4345.320314,7927.8312,0.145949102,0.02
NorthernYukonR.andtribs.,2001,8928.928587,5622.394597,12235.46258,0.185158497,0.02
NorthernYukonR.andtribs.,2002,6004.363874,4701.353591,7307.374157,0.108505273,0.02
NorthernYukonR.andtribs.,2003,15307.18639,12999.94503,17614.42775,0.075364646,0.02
NorthernYukonR.andtribs.,2004,11148.14424,8914.369624,13381.91886,0.10018594,0.02
NorthernYukonR.andtribs.,2005,9989.18374,7783.847717,12194.51976,0.110386198,0.02
NorthernYukonR.andtribs.,2006,10707.49574,7283.368765,14131.62272,0.159893922,0.02
NorthernYukonR.andtribs.,2007,4821.974598,3412.145024,6231.804172,0.146187993,0.02
NorthernYukonR.andtribs.,2008,5400.495887,4695.870788,6105.120986,0.065237074,0.02
NorthernYukonR.andtribs.,2009,8695.250248,7213.796287,10176.70421,0.08518754,0.02
NorthernYukonR.andtribs.,2010,2682.667845,1536.566215,3828.769475,0.213612288,0.02
NorthernYukonR.andtribs.,2011,4418.82642,3686.823348,5150.829493,0.08282777,0.02
NorthernYukonR.andtribs.,2012,4543.840494,3197.626071,5890.054918,0.148136188,0.02
NorthernYukonR.andtribs.,2013,530.2225027,28.27158644,1032.173419,0.473339884,0.02
NorthernYukonR.andtribs.,2014,5446.228311,4095.081766,6797.374857,0.124044244,0.02
NorthernYukonR.andtribs.,2015,6122.970405,4946.899997,7299.040814,0.096037571,0.02
NorthernYukonR.andtribs.,2016,7382.964989,5990.827656,8775.102322,0.094280369,0.02
NorthernYukonR.andtribs.,2017,6493.718727,4970.197779,8017.239675,0.117307279,0.02
NorthernYukonR.andtribs.,2018,5705.912379,4305.12982,7106.694938,0.122748341,0.02
NorthernYukonR.andtribs.,2019,2769.127353,1798.086459,3740.168248,0.175333376,0.02
NorthernYukonR.andtribs.,2020,7256.79021,7033.752136,7479.828284,0.015367543,0.02
NorthernYukonR.andtribs.,2021,3418.803439,2508.340676,4329.266203,0.133155178,0.02
NorthernYukonR.andtribs.,2022,622.365982,270.3356376,974.3963264,0.282816184,0.02
NorthernYukonR.andtribs.,2023,2122.353981,1253.89723,2990.810732,0.204597527,0.02
