"HCR","escapement","harvest","ER","harv.stability","below.LSR","between.ref","above.USR","extinct"
"fixed.ER",7794.86220981652,8924.36261596867,0.600198055105839,1.17282673854813,5.196,1.028,0.058,2.718
"no.fishing",24781.7371084343,0,0,NA,3.114,4.638,1.202,0.046
"status.quo",24355.4745748034,206.380997411862,0.000700630665101074,4.18693751429444,3.264,4.606,1.086,0.044
