"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
1985,2680.79,4487.1,7727.16,12329.2,15218.64,18681.88,"Big.Salmon","Big.Salmon"
1986,3583.37,5375.9,8026.88,17464.73,20705.76,24556.37,"Big.Salmon","Big.Salmon"
1987,2587.55,4079.06,6817.33,10275.2,12568.33,15243.74,"Big.Salmon","Big.Salmon"
1988,2400.34,4266.32,7788.03,11678.66,14419.71,17614.29,"Big.Salmon","Big.Salmon"
1989,4554.08,6733.76,9835.5,25118.65,29498.74,34501.62,"Big.Salmon","Big.Salmon"
1990,3342.19,7963.11,14607.03,10261.53,13180.04,16654.04,"Big.Salmon","Big.Salmon"
1991,4622.81,6723.9,9675.91,24542.17,28838.55,34017.48,"Big.Salmon","Big.Salmon"
1992,1966.84,3451.21,7035.77,6833.49,8881.18,11414.28,"Big.Salmon","Big.Salmon"
1993,3539.5,5356.25,8022.87,11470.42,13723.29,16509.72,"Big.Salmon","Big.Salmon"
1994,3314.19,5593.78,9708.59,6848.62,8407.18,10359.21,"Big.Salmon","Big.Salmon"
1995,5186.65,7975.66,11735.94,8780.4,10805.41,13339.46,"Big.Salmon","Big.Salmon"
1996,4860.48,7569.82,11360.86,10360.11,13053.4,16759.02,"Big.Salmon","Big.Salmon"
1997,5656.43,8359.4,12031.54,13101.32,15880.9,19286.4,"Big.Salmon","Big.Salmon"
1998,2731.05,4500.34,7236.23,11827.5,14225.64,17323.43,"Big.Salmon","Big.Salmon"
1999,2661.85,4119.4,6547.93,8217.14,9663.77,11296.02,"Big.Salmon","Big.Salmon"
2000,2511.36,3884.11,5967.45,8908.13,10265.47,11709.14,"Big.Salmon","Big.Salmon"
2001,4765.86,6891.75,9759.64,12819.09,14234.7,15804.07,"Big.Salmon","Big.Salmon"
2002,4056.27,7647.22,13233.61,4525.72,5381.7,6330,"Big.Salmon","Big.Salmon"
2003,5371.5,7770.32,10862.52,8945.49,9879.24,10874.68,"Big.Salmon","Big.Salmon"
2004,3382.03,5229.38,8129.01,6440.34,7335.12,8284.83,"Big.Salmon","Big.Salmon"
2005,5283.7,5628.01,5987.88,8068.67,8928.53,9861.47,"Big.Salmon","Big.Salmon"
2006,6818.42,7263.57,7736.68,5136.76,5749.88,6408.18,"Big.Salmon","Big.Salmon"
2007,4210.52,4486.33,4781.85,4322.7,4802.52,5332.52,"Big.Salmon","Big.Salmon"
2008,1270.63,1352.32,1440.81,3784.22,4304.14,4873.4,"Big.Salmon","Big.Salmon"
2009,8537.26,9090.84,9683.97,8330.38,9204.57,10122.52,"Big.Salmon","Big.Salmon"
