"HCR","escapement","harvest","ER","pr.no.harv","pr.basic.needs","harv.stability","n.below.LSR","n.between.ref","n.above.USR","n.extinct","prob"
"alt.rebuilding",19728.7201053753,716.300986617239,0.00159658322176022,0.392857142857143,0,1.79402469758666,3,4,0,0,"q_25"
"alt.rebuilding",23491.2493079561,957.612707319372,0.010394158352581,0.476190476190476,0,2.26667801444608,3,5,1,0,"median"
"alt.rebuilding",26236.5519475069,1540.27892758298,0.0410154878146071,0.547619047619047,0,2.59290257642492,4.75,5.75,1,0,"q_75"
"alt.rebuilding",23178.2529854241,1392.35937123168,0.0269276439975036,0.471428571428571,0.0142857142857143,2.33329148680614,3.3,4.7,1,0,"mean"
"fixed.ER.10",19049.5822769772,1898.6558186961,0.0972578562421271,0.0952380952380952,0,0.830001735436402,2,4,1,0,"q_25"
"fixed.ER.10",23435.6328355292,2364.01547518031,0.0978804461378786,0.0952380952380952,0,0.910340293071286,3,4,1.5,0,"median"
"fixed.ER.10",30289.4734153464,3167.59618136036,0.0999013282292547,0.0952380952380952,0,1.01009596421874,3,5,2,0,"q_75"
"fixed.ER.10",24197.8223470794,2456.54333728399,0.0989393200222816,0.0952380952380952,0,0.958877000099955,3.2,4.2,1.5,0.1,"mean"
"fixed.ER.100",1924.61194881623,6025.69914197271,0.977204309099661,0.226190476190476,0.238095238095238,1.9177855988974,0,0,0,9,"q_25"
"fixed.ER.100",2030.36570809066,6045.3263297866,1.02138444206563,0.428571428571429,0.285714285714286,2.03920919884655,0,0,0,9,"median"
"fixed.ER.100",2151.52356238379,6222.19584692495,1.04737685363236,0.428571428571429,0.285714285714286,2.18133407871514,0,0,0,9,"q_75"
"fixed.ER.100",2052.75904842255,5991.87716877342,1.01670637379586,0.371428571428571,0.257142857142857,2.0415661525652,0.1,0,0,8.9,"mean"
"fixed.ER.15",16339.3305178153,2683.7639268108,0.14806307681837,0.0952380952380952,0,0.843978752458719,3,4,0,0,"q_25"
"fixed.ER.15",19715.0404989267,3132.16613165706,0.150289884689307,0.0952380952380952,0,0.943094757222495,3,5,0.5,0,"median"
"fixed.ER.15",23754.2669933576,3865.56980475239,0.153504863208627,0.0952380952380952,0,0.999721601918958,4,5,1.75,0,"q_75"
"fixed.ER.15",20391.8246373196,3259.33043804597,0.150625568167561,0.0952380952380952,0,0.921778174876469,3.8,4.3,0.9,0,"mean"
"fixed.ER.20",16017.0445477528,3688.68353613802,0.204763525089934,0.0952380952380952,0,0.982851451967078,3,4,0,0,"q_25"
"fixed.ER.20",20900.7879259692,4773.54637529381,0.206286769895927,0.0952380952380952,0,1.12274008606621,3.5,4.5,0,0,"median"
"fixed.ER.20",22608.9129562476,5480.32344304043,0.209466906138316,0.0952380952380952,0.0357142857142857,1.23527683002481,5,5,1,0.75,"q_75"
"fixed.ER.20",20405.9931256874,4775.83671673279,0.206334944194661,0.0952380952380952,0.019047619047619,1.16666535442726,3.8,4.2,0.7,0.3,"mean"
"fixed.ER.25",16098.6340006378,4790.81527664963,0.246061636601944,0.0952380952380952,0,1.07689796319053,4,2.25,0,0,"q_25"
"fixed.ER.25",17737.219915257,5513.78698434898,0.248220336309882,0.0952380952380952,0,1.10773556218952,5,3,0.5,0,"median"
"fixed.ER.25",20519.76955703,6119.57823801975,0.252801734642189,0.0952380952380952,0.0714285714285714,1.27330207722386,5,4,1,0,"q_75"
"fixed.ER.25",17817.8959263714,5338.16692878104,0.248787185153676,0.0952380952380952,0.0285714285714286,1.1795007964516,4.7,3.3,0.7,0.3,"mean"
"fixed.ER.30",14818.1442174057,5501.93638060237,0.293900758314126,0.0952380952380952,0.0119047619047619,1.02758746906543,5,2,0,0,"q_25"
"fixed.ER.30",16331.0718206113,6296.02562777384,0.297920811429559,0.0952380952380952,0.0476190476190476,1.0563279202904,5.5,3,0,0,"median"
"fixed.ER.30",19212.7415968018,7739.21495883934,0.304464965806188,0.0952380952380952,0.202380952380952,1.19320132643928,6,3,0.75,0.75,"q_75"
"fixed.ER.30",17344.2331927432,6695.63763237319,0.299277432041572,0.0952380952380952,0.133333333333333,1.05918131588619,5.3,3,0.4,0.3,"mean"
"fixed.ER.35",12068.4082757804,5356.65476235775,0.344253523198322,0.0952380952380952,0.0595238095238095,0.862054560014661,4,2.25,0,0,"q_25"
"fixed.ER.35",14564.6768999798,6920.34769757899,0.34814268899211,0.0952380952380952,0.142857142857143,0.922032415220176,5,3,0,0,"median"
"fixed.ER.35",18615.6924855899,8612.22221000385,0.352659414478296,0.0952380952380952,0.285714285714285,1.07809695237189,5.75,4,1,0,"q_75"
