"HCR","escapement","harvest","cdn.harvest","ER","pr.closed","n.below.lwr","n.between.bench","n.above.upr","n.above.reb","n.extinct","prob"
"fixed.ER.5",20473.4880010374,1079.07522076082,248.187300774987,0.0505694229312293,0,5,2,2,1,1,"q_75"
"fixed.ER.5",17300.5302942489,910.378303759603,209.387009864709,0.0497156902113323,0,4.319,1.196,1.916,0.718,0.851,"mean"
"fixed.ER.50",4883.60476638333,4851.4955274038,1115.84397130287,0.444809700712131,0,2,0,0,0,3,"q_25"
"fixed.ER.50",6434.60099763976,6480.29861381823,1490.46868117819,0.464337003350526,0,3,0,1,0,4,"median"
"fixed.ER.50",8240.42600822419,8350.38644077371,1920.58888137795,0.481009737293545,0,4,1,1,1,5,"q_75"
"fixed.ER.50",6727.50263090983,6776.35303766852,1559.01158298984,0.460811759251376,0,2.969,0.589,0.926,0.397,4.119,"mean"
"fixed.ER.55",3700.04132359359,4668.24144125264,1073.6955314881,0.473132049524478,0,2,0,0,0,4,"q_25"
"fixed.ER.55",5139.38079268506,6264.80006021302,1440.90401384899,0.494774790164383,0,2,0,1,0,5,"median"
"fixed.ER.55",6843.01481648313,8418.52681195868,1936.2611667505,0.514858480425311,0,3,1,1,1,6,"q_75"
"fixed.ER.55",5437.71507754943,6692.31900864488,1539.90312413438,0.49213885034282,0,2.559,0.541,0.768,0.344,4.788,"mean"
"fixed.ER.60",3171.28167732887,4813.23018816509,1107.04294327797,0.494036130270714,0,1,0,0,0,4,"q_25"
"fixed.ER.60",4372.14544233998,6633.51050497098,1527.9904968756,0.520524201256537,0,2,0,1,0,5,"median"
"fixed.ER.60",5949.45306328808,8937.35413389793,2062.15005340416,0.547584570425078,0,3,1,1,1,6,"q_75"
"fixed.ER.60",4661.48623221417,7068.09587218087,1628.20348098242,0.518795674849156,0,2.228,0.516,0.62,0.322,5.314,"mean"
"fixed.ER.65",2302.49448366779,4397.90271658914,1011.5176248155,0.499797685129051,0,1,0,0,0,5,"q_25"
"fixed.ER.65",3398.70538466469,6375.17076269049,1466.28927541881,0.535686956647827,0,2,0,0,0,6,"median"
"fixed.ER.65",4731.92627546145,8807.62513349971,2031.68386114104,0.566113503732141,0,2,1,1,1,7,"q_75"
"fixed.ER.65",3614.77968754669,6795.76506304882,1565.15117433036,0.533149951264073,0,1.776,0.452,0.526,0.272,5.974,"mean"
"fixed.ER.70",1674.0486120413,4050.12143915861,931.527931006478,0.503942186805074,0,1,0,0,0,6,"q_25"
"fixed.ER.70",2553.64935248972,6133.74792611705,1410.76202300692,0.542322261045866,0,1,0,0,0,7,"median"
"fixed.ER.70",3682.6990678122,8617.08847583391,1987.51562424526,0.576263840977542,0,2,1,1,0,7,"q_75"
"fixed.ER.70",2834.91405354203,6730.96891544094,1549.96050936713,0.539264022589273,0.000142857142857143,1.528,0.421,0.388,0.195,6.468,"mean"
"fixed.ER.75",1120.64675907534,3551.20812190204,816.777868037471,0.496195876635393,0,1,0,0,0,7,"q_25"
"fixed.ER.75",1769.30949377766,5453.62755630742,1254.33433795071,0.53496034164319,0,1,0,0,0,7,"median"
"fixed.ER.75",2572.04926497367,7886.00650224737,1814.0801104511,0.575532789265459,0,2,1,0.25,0,8,"q_75"
"fixed.ER.75",1953.23974113263,6021.21894920837,1387.27704579648,0.534150606089122,0.00138095238095238,1.258,0.299,0.261,0.141,7.041,"mean"
"fixed.ER.80",595.167308349136,2710.73720024579,623.469556056531,0.469350107370054,0,0,0,0,0,7,"q_25"
"fixed.ER.80",1080.09423068739,4555.00999136483,1047.65229801391,0.510630631209995,0,1,0,0,0,7,"median"
"fixed.ER.80",1690.74245280795,6955.82853869215,1599.8405638992,0.553459289685081,0,1.25,0,0,0,8,"q_75"
"fixed.ER.80",1250.67935433969,5212.4710198337,1201.37428247925,0.512480123252644,0.00623809523809524,0.99,0.204,0.174,0.087,7.545,"mean"
"fixed.ER.85",282.857626013565,1922.50946295711,442.177176480137,0.435169790378837,0,0,0,0,0,8,"q_25"
"fixed.ER.85",519.745060776556,3287.24021219659,756.065248805214,0.475052265813194,0,1,0,0,0,8,"median"
"fixed.ER.85",915.171404474429,5333.02122703399,1226.59488221782,0.514698734552548,0,1,0,0,0,9,"q_75"
"fixed.ER.85",669.005628859448,4010.98644887034,923.407053002185,0.476136448737817,0.0259047619047619,0.616,0.111,0.084,0.031,8.158,"mean"
"fixed.ER.90",89.6683687429904,1155.56424704405,265.779776820131,0.382878428533686,0,0,0,0,0,8,"q_25"
"fixed.ER.90",182.966204336834,1943.96205373222,447.11127235841,0.428243311569624,0,0,0,0,0,9,"median"
"fixed.ER.90",355.664470057573,3284.3432458238,755.398946539475,0.46725143217468,0.19047619047619,0,0,0,0,9,"q_75"
"fixed.ER.90",274.916816804803,2628.91563964505,606.280240442912,0.425062430762537,0.113761904761905,0.236,0.036,0.026,0.009,8.693,"mean"
"fixed.ER.95",15.898933616276,596.952468114539,137.299067666344,0.297491944481331,0.142857142857143,0,0,0,0,9,"q_25"
"fixed.ER.95",44.2466054130355,1033.71339557466,237.754080982172,0.348430234673387,0.380952380952381,0,0,0,0,9,"median"
"fixed.ER.95",95.7431383286903,1729.86516615009,397.868988214521,0.399634024348112,0.523809523809524,0,0,0,0,9,"q_75"
"fixed.ER.95",78.4220635017843,1411.92011153125,325.581732110968,0.344759937698229,0.351952380952381,0.035,0.004,0,0.002,8.959,"mean"
"moratorium",12749.6831966779,1328.63928748594,305.587036121768,0.0810817594298613,0.904761904761905,4,0,1,0,0,"q_25"
"moratorium",15870.8071106107,1589.42645660821,365.568085019887,0.0985917304376638,0.952380952380952,4,1,2,1,1,"median"
"moratorium",19560.8108101406,1947.03634380531,452.926177414567,0.119391905916561,1,5,2,2,1,2,"q_75"
"moratorium",16350.8892957482,1751.54010394453,410.275969281385,0.103557681613864,0.949238095238095,4.386,1.06,1.716,0.749,1.089,"mean"
"moratorium.cap",12354.9046235525,1268.54101639155,289.67668567843,0.078532380888373,0.904761904761905,4,0,1,0,0,"q_25"
"moratorium.cap",15667.7419679495,1486.75539586517,339.826476226254,0.093489366754614,0.952380952380952,4,1,2,1,1,"median"
"moratorium.cap",19317.4171092058,1805.5920197983,414.042739969383,0.11262138408603,1,5,2,2,1,2,"q_75"
"moratorium.cap",16127.6717583828,1626.20255297374,370.865748243139,0.0980158025261589,0.951047619047619,4.371,1.119,1.693,0.726,1.091,"mean"
"no.fishing",14745.5656589411,0,0,0,1,3,1,1,0,0,"q_25"
"no.fishing",18085.9274805064,0,0,0,1,4,1,2,1,1,"median"
"no.fishing",21971.5638951237,0,0,0,1,5,2,3,1,1,"q_75"
"no.fishing",18663.1869228289,0,0,0,1,4.288,1.281,1.982,0.777,0.672,"mean"
