"HCR","escapement","harvest","ER","pr.no.harv","pr.basic.needs","harv.stability","n.below.LSR","n.between.ref","n.above.USR","n.extinct","prob"
"fixed.ER.80",7475.07100912737,22938.6061786242,0.793392852112951,0.0952380952380952,0.857142857142857,1.27697595713547,1.5,0,0,0.25,"q_25"
"fixed.ER.80",8859.86994093544,29221.1983361578,0.797030182026011,0.0952380952380952,0.904761904761905,1.34345658891508,3,2,0,2,"median"
"fixed.ER.80",19733.3071109853,61800.9103466939,0.812672899272716,0.0952380952380952,0.904761904761905,1.52271642596577,4.75,4,0.75,4.5,"q_75"
"fixed.ER.80",17146.4126261116,58872.503279794,0.801601610817196,0.0952380952380952,0.790476190476191,1.44827119799545,3.2,2.4,0.6,2.8,"mean"
"fixed.ER.85",4333.49756441087,14297.2350450007,0.823760932248118,0.0952380952380952,0.5,1.15618101720136,2,0,0,3.25,"q_25"
"fixed.ER.85",5923.17296650102,21534.2569238218,0.833262528054469,0.0952380952380952,0.642857142857143,1.60918040612568,3.5,0,0,5.5,"median"
"fixed.ER.85",6486.91144567298,24748.0912551936,0.858391584152622,0.0952380952380952,0.821428571428571,1.8249672776036,4,0,0,7,"q_75"
"fixed.ER.85",5591.4995469509,20431.9242083238,0.843087556700871,0.0952380952380952,0.647619047619047,1.53891964096268,3.2,0.5,0,5.3,"mean"
"fixed.ER.90",3717.50485331481,12650.5565488929,0.888968899941107,0.0952380952380952,0.440476190476191,1.40246829264892,0.5,0,0,4,"q_25"
"fixed.ER.90",4492.8196038239,20333.5596634292,0.897664114409339,0.0952380952380952,0.619047619047619,1.69432113691674,2,0,0,7,"median"
"fixed.ER.90",6596.7605486402,44428.5494155178,0.92269355217731,0.0952380952380952,0.857142857142857,2.15753152111827,5,0,0,8.5,"q_75"
"fixed.ER.90",8518.40323287409,50994.0862516374,0.900022145515124,0.123809523809524,0.619047619047619,1.861990116279,2.8,0.3,0.1,5.8,"mean"
"fixed.ER.95",2434.91180791194,8294.15327047819,0.924925039049594,0.0952380952380952,0.25,1.62623083022867,0,0,0,5.75,"q_25"
"fixed.ER.95",3000.78723813858,14335.6015580028,0.934923037852601,0.0952380952380952,0.333333333333333,1.91200119861188,0,0,0,8.5,"median"
"fixed.ER.95",4978.44878797115,23824.5377913829,0.946741944608813,0.285714285714285,0.547619047619047,2.16050442057007,1.75,0,0,9,"q_75"
"fixed.ER.95",4042.41248795824,19987.2158407072,0.929622351345825,0.228571428571429,0.423809523809524,1.93813683438995,1,0.4,0.2,7.4,"mean"
"no.fishing",50539.3858170273,0,0,1,0,NA,1,2,2,0,"q_25"
"no.fishing",69625.5219894132,0,0,1,0,NA,1,3,3.5,0,"median"
"no.fishing",135228.156474541,0,0,1,0,NA,2.75,4.75,5.75,0,"q_75"
"no.fishing",90678.731225533,0,0,1,0,NA,1.8,3.3,3.8,0.1,"mean"
"rebuilding",28220.6973928013,2599.20779177504,0,0.476190476190476,0.107142857142857,2.16395987478424,0.25,3,1.25,0,"q_25"
"rebuilding",44035.2241219356,8074.51160397206,0,0.785714285714285,0.166666666666666,3.30977977574591,3,3.5,3,0,"median"
"rebuilding",50634.4272283504,26232.9493926485,0.0401685657003655,0.892857142857143,0.309523809523809,3.89661461812107,3,5,3,0,"q_75"
"rebuilding",42086.9234421779,17065.6206151936,0.0792915485402577,0.685714285714286,0.238095238095238,3.19838447481868,2.5,3.7,2.7,0.1,"mean"
"rebuilding.cap",51239.9853521642,15472.5465764954,0,0.571428571428571,0.226190476190476,1.69984604384387,0,3,1.25,0,"q_25"
"rebuilding.cap",85486.9975508147,37770.4820537227,0,0.595238095238095,0.404761904761905,2.44280428131351,0,4,4,0,"median"
"rebuilding.cap",92440.8523321433,45888.2990669971,0,0.738095238095238,0.428571428571429,2.70457714872447,1.75,6,6,0,"q_75"
"rebuilding.cap",81001.7228219088,36566.6599231617,0.0640039184822083,0.604761904761905,0.376190476190476,2.5193666783383,0.7,4.3,4,0,"mean"
"status.quo",36931.5589408153,22750.2058093531,0.163185955433921,0.25,0.464285714285714,1.68780036626714,1.25,2,0.5,0,"q_25"
"status.quo",39048.2509096847,54702.9267067507,0.476466435920009,0.333333333333333,0.619047619047619,1.79102114539308,3,3.5,2.5,0,"median"
"status.quo",53804.3358870186,89750.7688157111,0.585947816957516,0.452380952380952,0.702380952380952,2.13338857715833,3,4.75,3.75,0,"q_75"
"status.quo",44945.0299290945,68775.9414062037,0.383754142055243,0.352380952380952,0.561904761904762,2.15909119674565,2.9,3.4,2.7,0,"mean"
"status.quo.cap",62158.6660501862,26237.8771923099,0.349639349675793,0.25,0.523809523809524,1.65941732277504,0.25,4.25,1,0,"q_25"
"status.quo.cap",69679.8891027774,34241.1505765059,0.365601975884586,0.357142857142857,0.571428571428571,2.1642109997821,2,5,2.5,0,"median"
"status.quo.cap",110843.084579182,70889.5837251249,0.382103574473596,0.380952380952381,0.666666666666667,2.45087910156024,3,5,4.75,0,"q_75"
"status.quo.cap",91158.7564047391,50086.003849652,0.367657911226031,0.323809523809524,0.604761904761905,2.58315435384171,1.8,4.6,2.6,0,"mean"
