"HCR","escapement","harvest","cdn.harvest","ER","pr.closed","n.below.lwr","n.between.bench","n.above.upr","n.above.reb","n.extinct","prob"
"IMEG",33505.1965975588,23612.2019455921,6386.3612636221,0.287263264322886,0.19047619047619,1,1,1,1,0,"q_25"
"IMEG",43616.3714754215,52844.6638227994,16375.8477637068,0.39826844387068,0.333333333333333,3,1,2,1,0,"median"
"IMEG",55223.9809163586,94163.593638027,33017.8312518926,0.514001798397643,0.476190476190476,4,2,3,3,0,"q_75"
"IMEG",48597.1860352112,82712.529674055,30952.1779706912,0.400688174142066,0.356523809523809,2.678,1.605,2.439,1.981,0.297,"mean"
"IMEG.cap",46902.3376343233,15717.8473364375,3241.17662626919,0.193086162614099,0.19047619047619,0,0,1,1,0,"q_25"
"IMEG.cap",71340.709753536,30127.1548080976,6635.94319362033,0.239023228323286,0.333333333333333,1,1,3,2,0,"median"
"IMEG.cap",102650.705256896,49231.9186919129,12054.6936966175,0.279641824329606,0.476190476190476,3,2,4,5,0,"q_75"
"IMEG.cap",84588.7696172971,38441.8665778558,10357.1908779749,0.234848093382024,0.35047619047619,1.865,1.395,2.65,2.929,0.161,"mean"
"PA.alternative",49483.7205044054,11864.0877835778,2917.78153022554,0.160839772495822,0.0476190476190476,0,0,1,1,0,"q_25"
"PA.alternative",73911.0913980576,26187.9909914769,6782.24758337149,0.201557456148261,0.0952380952380952,1,1,3,3,0,"median"
"PA.alternative",107575.791194566,47455.8060723083,13130.3091582295,0.245823544583162,0.19047619047619,3,2,4,5,0,"q_75"
"PA.alternative",88347.2631237519,36412.5740433405,11226.1396432259,0.202924543865901,0.150428571428571,1.675,1.289,2.685,3.188,0.163,"mean"
"fixed.ER.10",56386.9063437905,6213.3414854087,1436.06760289942,0.0984826218897315,0,0,0,1,1,0,"q_25"
"fixed.ER.10",90415.4403665814,9936.32471315104,2302.88418421102,0.0999471040537338,0,1,1,2,3,0,"median"
"fixed.ER.10",136714.434134519,15187.5930909683,3562.38224005805,0.101335486482993,0,3,2,4,6,0,"q_75"
"fixed.ER.10",106526.112811795,11820.2706513388,2836.85892698085,0.0998568301573653,0,1.646,1.142,2.544,3.5,0.168,"mean"
"fixed.ER.100",8.18230831550641,968.445062157015,222.742364296113,0.24975677641565,0.285714285714286,0,0,0,0,9,"q_25"
"fixed.ER.100",50.9198523549907,2172.30646774188,499.630487580631,0.358601006812324,0.523809523809524,0,0,0,0,9,"median"
"fixed.ER.100",175.26979155059,5041.29760564812,1167.75549478832,0.468858449237233,0.666666666666667,0,0,0,0,9,"q_75"
"fixed.ER.100",365.472437123439,10138.5415578434,3400.03890756638,0.363440682469459,0.476428571428571,0.039,0.005,0.004,0.006,8.946,"mean"
"fixed.ER.15",53395.9326431137,9384.85916030645,2165.46677988886,0.147597308635097,0,0,0,1,1,0,"q_25"
"fixed.ER.15",82514.5004492311,14656.5726025481,3420.19284443686,0.149784831454281,0,1,1,2,3,0,"median"
"fixed.ER.15",125931.374508241,22247.9950185789,5305.57540602815,0.152057722359591,0,3,2,4,5,0,"q_75"
"fixed.ER.15",100142.950496937,17702.0683521955,4515.30622497709,0.149765959728584,0,1.745,1.283,2.543,3.263,0.166,"mean"
"fixed.ER.20",49644.9694705758,12406.8714572763,2868.27310439642,0.196617640234412,0,0,0,1,1,0,"q_25"
"fixed.ER.20",78362.715057687,19754.3431033797,4636.04047323225,0.199773117365027,0,1,1,2,2,0,"median"
"fixed.ER.20",118739.136148003,29829.1215173268,7242.6920983812,0.202918372207351,0,3,2,4,5,0,"q_75"
"fixed.ER.20",95195.2815806619,23875.4154640867,6239.52042731671,0.199612565275501,0,1.813,1.279,2.561,3.143,0.204,"mean"
"fixed.ER.25",43062.0674366754,14582.1501443906,3371.83801316444,0.245942908356797,0,0,0,1,1,0,"q_25"
"fixed.ER.25",72404.5757774602,24069.1868648016,5706.35079087665,0.250196106667503,0,1,1,2,2,0,"median"
"fixed.ER.25",115301.40280498,38581.5482828193,9701.49227427739,0.254079231967036,0,3,2,4,5,0,"q_75"
"fixed.ER.25",89636.1789367849,29916.8841164306,8092.77968574509,0.249694161598244,0,2.001,1.379,2.503,2.877,0.24,"mean"
"fixed.ER.30",41167.7881189278,17861.753206803,4125.71428792491,0.2951826862731,0,0,0,1,1,0,"q_25"
"fixed.ER.30",67870.268176069,28839.9970810689,7076.19477850243,0.299972163279335,0,2,1,2,2,0,"median"
"fixed.ER.30",106716.28879464,45688.0723246466,11970.3190580874,0.30460133928346,0,4,2,4,4,0,"q_75"
"fixed.ER.30",84048.1691068699,36020.5471208782,10052.0123286032,0.299468364797665,0,2.161,1.309,2.456,2.796,0.278,"mean"
"fixed.ER.35",34704.7711704812,19045.0558365076,4439.77414940395,0.34364956935096,0,1,0,1,1,0,"q_25"
"fixed.ER.35",59361.9983446446,31656.3302800873,7984.19344183283,0.349375035588774,0,2,1,2,2,0,"median"
"fixed.ER.35",99363.5769709973,53400.0050450954,14597.7640493139,0.354957052163285,0,4,2,3,4,0,"q_75"
"fixed.ER.35",76771.3468873302,41442.9962443729,11921.1416237276,0.348519183312293,0,2.353,1.39,2.363,2.545,0.349,"mean"
"fixed.ER.40",31086.2840506833,20528.7851725287,4801.50355448764,0.391511495137726,0,1,0,1,1,0,"q_25"
"fixed.ER.40",52851.8771557639,35153.8791766182,8761.77170886098,0.398378892581587,0,2,1,2,2,0,"median"
"fixed.ER.40",84727.2630428662,56000.7699426438,15409.9009207669,0.40490358102209,0,4,2,3,4,1,"q_75"
"fixed.ER.40",74401.2509988885,49175.2910469131,15178.2562360392,0.397165034599568,0,2.577,1.386,2.306,2.313,0.418,"mean"
"fixed.ER.45",28896.490774865,23719.8614240149,5592.02517251364,0.440581823307874,0,1,0,1,0,0,"q_25"
"fixed.ER.45",47126.3266752003,38932.2911738416,9794.33658940959,0.448124871169908,0,2,1,2,2,0,"median"
"fixed.ER.45",78099.7664199852,64036.6025645177,17941.7663990342,0.455706621592506,0,4,2,3,3,1,"q_75"
"fixed.ER.45",63313.636579497,51860.4431460598,15569.0766700553,0.446891589429548,0,2.729,1.409,2.154,2.234,0.474,"mean"
"fixed.ER.5",59519.8637214365,3151.53865646426,728.775361757859,0.0492167294743809,0,0,0,1,1,0,"q_25"
