"CU","bench.par","mean","50%","10%","90%","n_eff","Rhat"
"Big.Salmon","S.recent",2131.41544,2131.46475,2076.36402,2186.28119,NA,NA
"MiddleYukonR.andtribs.","S.recent",5579.29028,5561.66679,5025.64452,6156.21997,NA,NA
"Nordenskiold","S.recent",1415.83126,1414.20026,1316.18006,1516.86435,NA,NA
"NorthernYukonR.andtribs.","S.recent",2778.8216,2771.18468,2536.67069,3032.512,NA,NA
"Pelly","S.recent",2721.09803,2715.99024,2518.55025,2927.72575,NA,NA
"Stewart","S.recent",1315.94984,1312.10494,1145.57005,1490.34036,NA,NA
"UpperYukonR.","S.recent",1809.54265,1804.32516,1611.49778,2017.62059,NA,NA
"Whiteandtribs.","S.recent",1554.62537,1541.37145,1306.68151,1819.55874,NA,NA
"YukonR.Teslinheadwaters","S.recent",3175.75781,3168.57716,2925.85189,3432.10462,NA,NA
"Big.Salmon","Seq",8666.92001,7837.57481,3076.89862,14339.78031,NA,NA
"MiddleYukonR.andtribs.","Seq",20482.47998,18246.02213,7602.49696,33537.56283,NA,NA
"Nordenskiold","Seq",3752.34915,3630.9925,2988.13811,4649.60275,NA,NA
"NorthernYukonR.andtribs.","Seq",15992.62895,11786.69384,4256.45682,27264.3796,NA,NA
"Pelly","Seq",12118.32422,10647.66598,3033.73313,21580.88992,NA,NA
"Stewart","Seq",6806.35172,6205.73815,3189.06924,10673.41159,NA,NA
"UpperYukonR.","Seq",5022.48461,5007.22624,3799.42644,6264.05824,NA,NA
"Whiteandtribs.","Seq",6660.80788,5973.4325,2363.38016,11337.62291,NA,NA
"YukonR.Teslinheadwaters","Seq",9802.6462,9451.12289,5626.53381,13882.11287,NA,NA
"Big.Salmon","Sgen",1329.5831,1246.12939,618.62896,2093.29233,NA,NA
"MiddleYukonR.andtribs.","Sgen",3179.08461,2977.36602,1576.53296,4828.92647,NA,NA
"Nordenskiold","Sgen",231.60895,210.85579,128.86006,359.04297,NA,NA
"NorthernYukonR.andtribs.","Sgen",3490.31856,2484.01402,1235.28043,5335.21954,NA,NA
"Pelly","Sgen",1972.16005,1994.10103,904.70922,2887.25285,NA,NA
"Stewart","Sgen",985.79042,948.40904,544.53205,1446.16474,NA,NA
"UpperYukonR.","Sgen",501.62013,487.21455,315.7934,700.14772,NA,NA
"Whiteandtribs.","Sgen",809.62468,788.15972,341.4719,1249.24616,NA,NA
"YukonR.Teslinheadwaters","Sgen",1059.67555,1039.30356,598.10259,1540.78895,NA,NA
"Big.Salmon","Smsr",8338.11788,7619.83895,5124.54638,12075.55033,NA,NA
"MiddleYukonR.andtribs.","Smsr",19817.5679,17887.61551,12848.5405,27816.0574,NA,NA
"Nordenskiold","Smsr",1962.32506,1886.77177,1519.14692,2480.45289,NA,NA
"NorthernYukonR.andtribs.","Smsr",22896.49464,15319.62249,9523.8798,34101.22875,NA,NA
"Pelly","Smsr",12827.79034,12183.63988,9669.29917,16613.83767,NA,NA
"Stewart","Smsr",6030.18917,5666.57604,4153.48205,8248.36257,NA,NA
"UpperYukonR.","Smsr",3329.36592,3240.98257,2692.52679,4063.33906,NA,NA
"Whiteandtribs.","Smsr",5348.06902,4993.62897,3680.40434,7264.2988,NA,NA
"YukonR.Teslinheadwaters","Smsr",6949.90148,6664.81507,5300.38633,8871.88465,NA,NA
"Big.Salmon","Smsr.20",1667.62358,1523.96779,1024.90928,2415.11007,NA,NA
"MiddleYukonR.andtribs.","Smsr.20",3963.51358,3577.5231,2569.7081,5563.21148,NA,NA
"Nordenskiold","Smsr.20",392.46501,377.35435,303.82938,496.09058,NA,NA
"NorthernYukonR.andtribs.","Smsr.20",4579.29893,3063.9245,1904.77596,6820.24575,NA,NA
"Pelly","Smsr.20",2565.55807,2436.72798,1933.85983,3322.76753,NA,NA
"Stewart","Smsr.20",1206.03783,1133.31521,830.69641,1649.67251,NA,NA
"UpperYukonR.","Smsr.20",665.87318,648.19651,538.50536,812.66781,NA,NA
"Whiteandtribs.","Smsr.20",1069.6138,998.72579,736.08087,1452.85976,NA,NA
"YukonR.Teslinheadwaters","Smsr.20",1389.9803,1332.96301,1060.07727,1774.37693,NA,NA
"Big.Salmon","Smsr.40",3335.24715,3047.93558,2049.81855,4830.22013,NA,NA
"MiddleYukonR.andtribs.","Smsr.40",7927.02716,7155.0462,5139.4162,11126.42296,NA,NA
"Nordenskiold","Smsr.40",784.93003,754.70871,607.65877,992.18115,NA,NA
"NorthernYukonR.andtribs.","Smsr.40",9158.59786,6127.849,3809.55192,13640.4915,NA,NA
"Pelly","Smsr.40",5131.11614,4873.45595,3867.71967,6645.53507,NA,NA
"Stewart","Smsr.40",2412.07567,2266.63042,1661.39282,3299.34503,NA,NA
"UpperYukonR.","Smsr.40",1331.74637,1296.39303,1077.01072,1625.33563,NA,NA
"Whiteandtribs.","Smsr.40",2139.22761,1997.45159,1472.16174,2905.71952,NA,NA
"YukonR.Teslinheadwaters","Smsr.40",2779.96059,2665.92603,2120.15453,3548.75386,NA,NA
"Big.Salmon","Smsy",3500.21758,3303.69289,1442.82049,5576.51556,NA,NA
"MiddleYukonR.andtribs.","Smsy",8280.99247,7714.00723,3579.40267,13049.51549,NA,NA
"Nordenskiold","Smsy",1357.51749,1318.34803,1099.7758,1660.24307,NA,NA
"NorthernYukonR.andtribs.","Smsy",6842.22585,5191.92384,2037.27643,11407.68669,NA,NA
"Pelly","Smsy",4883.78144,4680.95859,1467.66497,8288.89098,NA,NA
"Stewart","Smsy",2747.93692,2594.96159,1460.67792,4173.50025,NA,NA
"UpperYukonR.","Smsy",1956.13536,1951.19744,1568.46016,2378.7378,NA,NA
"Whiteandtribs.","Smsy",2563.43262,2458.23016,1106.47541,4058.74956,NA,NA
"YukonR.Teslinheadwaters","Smsy",3801.59375,3745.79943,2484.72248,5188.1482,NA,NA
"Big.Salmon","Umsy",0.44101,0.44682,0.17894,0.67626,NA,NA
"MiddleYukonR.andtribs.","Umsy",0.43793,0.44531,0.1828,0.66243,NA,NA
"Nordenskiold","Umsy",0.70148,0.71197,0.59979,0.79417,NA,NA
"NorthernYukonR.andtribs.","Umsy",0.34779,0.34222,0.11498,0.57284,NA,NA
"Pelly","Umsy",0.38793,0.38123,0.11831,0.65356,NA,NA
"Stewart","Umsy",0.469,0.48037,0.24772,0.66609,NA,NA
"UpperYukonR.","Umsy",0.59568,0.60747,0.46959,0.71287,NA,NA
"Whiteandtribs.","Umsy",0.49266,0.50294,0.20589,0.75829,NA,NA
"YukonR.Teslinheadwaters","Umsy",0.55631,0.57744,0.35239,0.72066,NA,NA
"Big.Salmon","alpha",3.0102,2.82609,1.45659,6.07426,3482,1.0015
"MiddleYukonR.andtribs.","alpha",2.97219,2.81412,1.46912,5.74546,5192,1
"Nordenskiold","alpha",7.04233,7.07568,4.55189,10.74938,4414,1.0015
"NorthernYukonR.andtribs.","alpha",2.29037,2.14065,1.2676,4.15139,3416,1.0001
"Pelly","alpha",2.62418,2.36612,1.27663,5.54904,2916,1.0014
"Stewart","alpha",3.20661,3.11118,1.70296,5.82975,4415,1.0005
"UpperYukonR.","alpha",4.65024,4.67683,3.01529,7.10431,3765,1.0001
"Whiteandtribs.","alpha",3.62195,3.32675,1.54716,8.83127,5226,1.0006
"YukonR.Teslinheadwaters","alpha",4.22121,4.21585,2.19649,7.35953,3485,1.0011
"Big.Salmon","beta",1.4,1.3,0.8,2,1327,1.0053
"MiddleYukonR.andtribs.","beta",0.6,0.6,0.4,0.8,5749,1.0001
"Nordenskiold","beta",5.3,5.3,4,6.6,5238,1.0008
"NorthernYukonR.andtribs.","beta",0.7,0.7,0.3,1,5162,0.9999
"Pelly","beta",0.8,0.8,0.6,1,4991,1.0004
"Stewart","beta",1.8,1.8,1.2,2.4,4336,1.0011
"UpperYukonR.","beta",3.1,3.1,2.5,3.7,8615,0.9996
"Whiteandtribs.","beta",2,2,1.4,2.7,6687,1.0004
"YukonR.Teslinheadwaters","beta",1.5,1.5,1.1,1.9,7137,1.0021
"Big.Salmon","phi",0.84201,0.85983,0.69627,0.96499,4590,0.9999
"MiddleYukonR.andtribs.","phi",0.804,0.82183,0.63408,0.95185,4861,1.0003
"Nordenskiold","phi",0.55783,0.56301,0.33738,0.77501,3933,1.0001
"NorthernYukonR.andtribs.","phi",0.78936,0.79417,0.65554,0.91903,4582,1.0004
"Pelly","phi",0.86736,0.88158,0.74609,0.9729,4704,1.0001
"Stewart","phi",0.71997,0.73593,0.5187,0.9083,1325,1.002
"UpperYukonR.","phi",0.52471,0.53399,0.25421,0.78297,2818,1.0015
"Whiteandtribs.","phi",0.85688,0.87496,0.71883,0.97216,5877,1.0004
"YukonR.Teslinheadwaters","phi",0.73798,0.75265,0.53707,0.92529,4110,1.0005
"Big.Salmon","sigma",0.91941,0.91565,0.81501,1.02773,5349,1.0012
"MiddleYukonR.andtribs.","sigma",0.97411,0.96932,0.87455,1.07855,7491,1.0002
"Nordenskiold","sigma",1.10326,1.0977,1.00263,1.21369,5961,1.0005
"NorthernYukonR.andtribs.","sigma",1.01787,1.01329,0.91234,1.12734,4532,1.0003
"Pelly","sigma",0.94537,0.94142,0.84999,1.04453,4942,1.0019
"Stewart","sigma",1.13504,1.12961,1.02847,1.24876,5309,1.0003
"UpperYukonR.","sigma",1.1215,1.11637,1.02197,1.22788,6865,0.9998
"Whiteandtribs.","sigma",0.98706,0.98206,0.87779,1.10464,5511,1.0004
"YukonR.Teslinheadwaters","sigma",1.02852,1.02446,0.93133,1.13107,8142,0.9999
