"HCR","escapement","harvest","ER","harv.stability","below.LSR","between.ref","above.USR","extinct"
"fixed.ER",467215.653680547,720192.681439229,0.590387897296819,3.97023785359878,1.258,0.73,1.24,5.772
"no.fishing",849839.59848128,0,0,NA,1.47,1.172,1.932,4.426
"status.quo",58442.173296411,635884.414877142,0.311766775576748,4.1822322636725,1.69,1.328,1.102,4.88
