"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
2011,4833.23,5143.66,5470,9407.65,10283.65,11231.21,"Big.Salmon","Big.Salmon"
2012,2442.97,2601.18,2772.81,7120.07,7924.69,8765.5,"Big.Salmon","Big.Salmon"
2013,3053.43,3251.17,3454.82,6234.23,6974.46,7766.54,"Big.Salmon","Big.Salmon"
2014,5889.38,6280.62,6683.03,5269.15,5900.92,6577.28,"Big.Salmon","Big.Salmon"
2015,9363.47,9960.46,10617.15,2527.97,2856.04,3227.93,"Big.Salmon","Big.Salmon"
2016,6343.13,6760.19,7203.68,1733.06,1923.8,2128.59,"Big.Salmon","Big.Salmon"
2017,5317.23,5663.07,6043.19,1282.78,1444.44,1614.03,"Big.Salmon","Big.Salmon"
2018,4836.87,5141.83,5484.43,1824.93,2055.04,2370.08,"Big.Salmon","Big.Salmon"
2019,3610.6,3848.08,4104.85,1709.98,2414.01,3656.07,"Big.Salmon","Big.Salmon"
2020,1543.21,1642.72,1748.84,1118.8,1995.5,3854.69,"Big.Salmon","Big.Salmon"
2021,1845.56,1964.88,2090.16,NA,NA,NA,"Big.Salmon","Big.Salmon"
2022,1217.33,1299.48,1383.21,NA,NA,NA,"Big.Salmon","Big.Salmon"
2023,1684.41,1796.55,1915.24,NA,NA,NA,"Big.Salmon","Big.Salmon"
2024,1785.27,1899.77,2027.15,NA,NA,NA,"Big.Salmon","Big.Salmon"
1985,8859.98,10143.9,11539.05,28456.17,34248.67,40394.69,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1986,13854.39,15831.12,18115.95,46840.08,54102.21,62164.18,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1987,8214.32,9141.98,10162.42,22919.18,27392.93,32390.06,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
1988,3877.78,5176.88,6994.55,22563.49,27222.97,32474.04,"MiddleYukonR.andtribs.","MiddleYukonR.andtribs."
