"","alpha_1","beta_1","alpha_2","beta_2","alpha_3","beta_3","alpha_4","beta_4","alpha_5","beta_5","alpha_6","beta_6","alpha_7","beta_7","alpha_8","beta_8","alpha_9","beta_9","pi_1","pi_2","pi_3","pi_4","phi","for_error","OU","ny","nstk","nsim"
"25%",3.9407739518406,0.000141432477466169,3.58930256831395,5.02168213458064e-05,6.63977849951637,0.000605627247673233,4.00874739863449,0.000117186454206245,3.08202619430773,6.24349955012961e-05,4.0000610260246,0.000253871697757893,3.48322482999398,0.000172190102259159,3.02968314897754,0.000156707557607674,5.45624484076571,0.000200107935191459,0.0836630509148383,0.338224418303925,0.480783822737849,0.0763811654718905,0.75,0.79,0.1,34,9,1000
"50%",4.72376212574505,0.000170103012223885,4.24593976694729,6.31416125855319e-05,7.82089929766403,0.000671251988178517,4.78850775686895,0.000133714355140324,3.55723566381925,7.39658633387716e-05,4.80039014471708,0.000304769709742795,4.02379455834928,0.000199934182800911,3.46810273475857,0.000181472982571999,6.28338808715953,0.000222144887311674,0.0871230747273537,0.344480405802461,0.487274157959217,0.079545638363716,0.75,0.79,0.1,34,9,1000
"75%",5.66226879933623,0.00019872335782552,5.02271083989203,7.63988204792411e-05,9.19663247243878,0.000743470217408779,5.80650190905605,0.000150372306032662,4.07054964419869,8.56459005598299e-05,5.75708837194914,0.000354548733067346,4.60372354929002,0.000227057156656697,4.00511773622815,0.000207660995584667,7.28316555304235,0.000246289483191519,0.0904927545602671,0.350631278072262,0.494030801324166,0.0829960096409721,0.75,0.79,0.1,34,9,1000
"",4.88522212464103,0.000170317235327714,4.40038375949822,6.371823664776e-05,8.06509421606042,0.000673768442678309,5.0258249501196,0.000134254070912049,3.63916954390088,7.4368444188569e-05,4.97254009554449,0.000303812430634145,4.09560544505242,0.000199955236346778,3.57995842382136,0.00018291770155955,6.45822903096179,0.000223093023759247,0.087215288251467,0.344401620579568,0.487194306676585,0.0797648654188706,0.75,0.79,0.1,34,9,1000
