CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,new spawn data,difference,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2017,NA,NA,NA,NA,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2018,NA,NA,NA,NA,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2019,33,33,33,33,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2020,40,40,40,40,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2021,33,33,33,33,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2022,85,85,85,85,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2023,246,246,246,246,,,NA,NA,1969,TRUE,CK_Yukon
CK-68,YukonRiver-TeslinHeadwaters,Chinook,2024,328,328,328,328,,,NA,NA,1969,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1985,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1986,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1987,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1988,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1989,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1990,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1991,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1992,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1993,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1994,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1995,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1996,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1997,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1998,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,1999,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2000,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2001,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2002,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2003,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2004,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2005,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2006,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2007,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2008,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2009,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2010,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2011,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2012,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2013,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2014,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2015,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2016,NA,NA,NA,NA,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2017,3098,3098,3098,3098,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2018,2245,2245,2245,2245,,,NA,NA,1985,TRUE,CK_Yukon
CK-69,UpperYukonR.,Chinook,2019,1227,1227,1227,1227,,,NA,NA,1985,TRUE,CK_Yukon
