CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,new spawn data,difference,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-72,Pelly,Chinook,2008,4103.413473,4103.413473,4103.413473,4103.413473,4277.190212,4%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2009,19166.11125,19166.11125,19166.11125,19166.11125,15808.78089,-18%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2010,10280.02793,10280.02793,10280.02793,10280.02793,7499.445862,-27%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2011,8506.378684,8506.378684,8506.378684,8506.378684,8564.467445,1%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2012,6552.034519,6552.034519,6552.034519,6552.034519,6465.313837,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2013,8865.871903,8865.871903,8865.871903,8865.871903,11113.79274,25%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2014,6738.961986,6738.961986,6738.961986,6738.961986,6779.725334,1%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2015,16839.9282,16839.9282,16839.9282,16839.9282,16183.44551,-4%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2016,13528.50602,13528.50602,13528.50602,13528.50602,13474.9952,0%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2017,8627.836758,8627.836758,8627.836758,8627.836758,8649.59406,0%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2018,7830.668562,7830.668562,7830.668562,7830.668562,7343.690453,-6%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2019,4672.562045,4672.562045,4672.562045,4672.562045,4681.585156,0%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2020,5567.866623,5567.866623,5567.866623,5567.866623,6406.534821,15%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2021,4061.025995,4061.025995,4061.025995,4061.025995,5790.788158,43%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2022,978.3889141,978.3889141,978.3889141,978.3889141,941.0730269,-4%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2023,1889.257808,1889.257808,1889.257808,1889.257808,1898.231048,0%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2024,1603.921933,1603.921933,1603.921933,1603.921933,1714.673076,7%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1985,8310.763475,8310.763475,8310.763475,8310.763475,8874.340141,7%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1986,13106.16813,13106.16813,13106.16813,13106.16813,10005.55337,-24%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1987,7422.265664,7422.265664,7422.265664,7422.265664,10102.25993,36%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1988,4549.386508,4549.386508,4549.386508,4549.386508,6790.390769,49%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1989,10615.71081,10615.71081,10615.71081,10615.71081,18641.42077,76%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1990,6142.407685,6142.407685,6142.407685,6142.407685,11404.43194,86%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1991,16176.05286,16176.05286,16176.05286,16176.05286,15620.21346,-3%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1992,9377.177157,9377.177157,9377.177157,9377.177157,9314.107345,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1993,7464.469476,7464.469476,7464.469476,7464.469476,9051.844882,21%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1994,7563.427028,7563.427028,7563.427028,7563.427028,11704.31508,55%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1995,22143.56507,22143.56507,22143.56507,22143.56507,20867.62948,-6%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1996,12718.27148,12718.27148,12718.27148,12718.27148,16868.26998,33%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1997,25737.40824,25737.40824,25737.40824,25737.40824,25679.12398,0%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1998,3986.876072,3986.876072,3986.876072,3986.876072,4601.668527,15%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,1999,6828.770486,6828.770486,6828.770486,6828.770486,9929.826169,45%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2000,14631.53858,14631.53858,14631.53858,14631.53858,7354.63233,-50%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2001,23806.55509,23806.55509,23806.55509,23806.55509,14790.63885,-38%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2002,14954.29949,14954.29949,14954.29949,14954.29949,19144.42747,28%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2003,10326.41428,10326.41428,10326.41428,10326.41428,22174.57993,115%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2004,10629.01961,10629.01961,10629.01961,10629.01961,11346.69844,7%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2005,13854.59635,13854.59635,13854.59635,13854.59635,14701.22117,6%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2006,17042.29849,17042.29849,17042.29849,17042.29849,17718.48495,4%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2007,3915.315942,3915.315942,3915.315942,3915.315942,6965.06162,78%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2008,9946.315077,9946.315077,9946.315077,9946.315077,9752.413176,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2009,11259.80633,11259.80633,11259.80633,11259.80633,12275.22655,9%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2010,6513.839958,6513.839958,6513.839958,6513.839958,5284.783581,-19%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2011,10657.01976,10657.01976,10657.01976,10657.01976,10882.13999,2%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2012,3994.977432,3994.977432,3994.977432,3994.977432,4006.199164,0%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2013,4847.789742,4847.789742,4847.789742,4847.789742,4603.737077,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2014,18911.03765,18911.03765,18911.03765,18911.03765,18876.04321,0%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2015,23458.22679,23458.22679,23458.22679,23458.22679,25791.57534,10%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2016,13176.06919,13176.06919,13176.06919,13176.06919,13474.80467,2%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2017,17879.40251,17879.40251,17879.40251,17879.40251,18305.96012,2%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2018,14651.24051,14651.24051,14651.24051,14651.24051,15974.65137,9%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2019,11080.82291,11080.82291,11080.82291,11080.82291,11779.24726,6%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2020,6302.901198,6302.901198,6302.901198,6302.901198,6789.43845,8%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2021,7077.855902,7077.855902,7077.855902,7077.855902,7496.203151,6%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2022,4498.740665,4498.740665,4498.740665,4498.740665,4404.566694,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2023,2538.416387,2538.416387,2538.416387,2538.416387,2573.920413,1%,NA,NA,1985,TRUE,CK_Yukon
CK-73,MiddleYukonR.andTribs,Chinook,2024,4604.000949,4604.000949,4604.000949,4604.000949,4741.847865,3%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1985,5606.201324,5606.201324,5606.201324,5606.201324,5789.339002,3%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1986,7000.965212,7000.965212,7000.965212,7000.965212,5376.03091,-23%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1987,2229.41424,2229.41424,2229.41424,2229.41424,3115.066688,40%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1988,1808.099131,1808.099131,1808.099131,1808.099131,2561.092428,42%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1989,2531.747531,2531.747531,2531.747531,2531.747531,3685.86999,46%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1990,3249.697099,3249.697099,3249.697099,3249.697099,4748.353064,46%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1991,3352.747693,3352.747693,3352.747693,3352.747693,4466.585563,33%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1992,3032.080982,3032.080982,3032.080982,3032.080982,2780.046288,-8%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1993,1190.293236,1190.293236,1190.293236,1190.293236,1751.415213,47%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1994,3154.571907,3154.571907,3154.571907,3154.571907,5299.051637,68%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1995,6688.924018,6688.924018,6688.924018,6688.924018,7002.915641,5%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1996,2862.323482,2862.323482,2862.323482,2862.323482,4015.552233,40%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1997,5085.336767,5085.336767,5085.336767,5085.336767,5305.636034,4%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1998,2945.28961,2945.28961,2945.28961,2945.28961,2455.042949,-17%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,1999,1888.139573,1888.139573,1888.139573,1888.139573,2351.057537,25%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2000,2754.148067,2754.148067,2754.148067,2754.148067,1444.442959,-48%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2001,4582.023933,4582.023933,4582.023933,4582.023933,4545.04668,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2002,2638.443845,2638.443845,2638.443845,2638.443845,4118.675148,56%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2003,1458.031798,1458.031798,1458.031798,1458.031798,2879.26096,97%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2004,2666.859127,2666.859127,2666.859127,2666.859127,2966.973331,11%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2005,13297.23828,13297.23828,13297.23828,13297.23828,2001.818975,-85%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2006,5956.740475,5956.740475,5956.740475,5956.740475,6049.496415,2%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2007,9666.106068,9666.106068,9666.106068,9666.106068,2901.322715,-70%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2008,1858.449091,1858.449091,1858.449091,1858.449091,1827.061627,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2009,6061.440125,6061.440125,6061.440125,6061.440125,4983.132186,-18%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2010,1349.438661,1349.438661,1349.438661,1349.438661,2203.551434,63%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2011,1785.360957,1785.360957,1785.360957,1785.360957,1796.507016,1%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2012,621.3427227,621.3427227,621.3427227,621.3427227,611.4536262,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2013,2398.870002,2398.870002,2398.870002,2398.870002,3005.403614,25%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2014,2161.028908,2161.028908,2161.028908,2161.028908,2151.193148,0%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2015,5177.005725,5177.005725,5177.005725,5177.005725,4925.587403,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2016,5761.479353,5761.479353,5761.479353,5761.479353,5732.78387,0%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2017,2844.828651,2844.828651,2844.828651,2844.828651,2892.518834,2%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2018,4865.656202,4865.656202,4865.656202,4865.656202,2625.334536,-46%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2019,3619.497568,3619.497568,3619.497568,3619.497568,3391.166459,-6%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2020,1623.21034,1623.21034,1623.21034,1623.21034,1920.932179,18%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2021,2059.16987,2059.16987,2059.16987,2059.16987,2843.910991,38%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2022,33.70796596,33.70796596,33.70796596,33.70796596,33.99699285,1%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2023,536.9089876,536.9089876,536.9089876,536.9089876,545.538413,2%,NA,NA,1985,TRUE,CK_Yukon
CK-74,Stewart,Chinook,2024,2575.417547,2575.417547,2575.417547,2575.417547,2568.667345,0%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1985,2343.995242,2343.995242,2343.995242,2343.995242,2245.539817,-4%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1986,5536.385548,5536.385548,5536.385548,5536.385548,3987.475821,-28%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1987,2381.495953,2381.495953,2381.495953,2381.495953,2721.516382,14%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1988,1101.276657,1101.276657,1101.276657,1101.276657,1756.92138,60%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1989,1905.521916,1905.521916,1905.521916,1905.521916,2361.351019,24%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1990,1295.06423,1295.06423,1295.06423,1295.06423,1725.134498,33%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1991,936.4684617,936.4684617,936.4684617,936.4684617,973.5108263,4%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1992,4434.739653,4434.739653,4434.739653,4434.739653,3344.793823,-25%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1993,8103.236096,8103.236096,8103.236096,8103.236096,10315.59651,27%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1994,6967.464293,6967.464293,6967.464293,6967.464293,6596.007359,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1995,4279.68027,4279.68027,4279.68027,4279.68027,4077.513573,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1996,10365.16653,10365.16653,10365.16653,10365.16653,10503.40826,1%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1997,4935.497197,4935.497197,4935.497197,4935.497197,4838.165692,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1998,3778.535342,3778.535342,3778.535342,3778.535342,2675.401725,-29%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,1999,3187.980919,3187.980919,3187.980919,3187.980919,3764.459065,18%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2000,6011.886064,6011.886064,6011.886064,6011.886064,2816.560405,-53%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2001,5384.20844,5384.20844,5384.20844,5384.20844,4536.875257,-16%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2002,2557.524989,2557.524989,2557.524989,2557.524989,2996.308108,17%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2003,4081.462532,4081.462532,4081.462532,4081.462532,5037.543453,23%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2004,3312.665438,3312.665438,3312.665438,3312.665438,3375.690397,2%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2005,4216.473301,4216.473301,4216.473301,4216.473301,13885.30289,229%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2006,3045.545525,3045.545525,3045.545525,3045.545525,1440.589466,-53%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2007,3045.387415,3045.387415,3045.387415,3045.387415,3477.033044,14%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2008,2018.710826,2018.710826,2018.710826,2018.710826,2085.438252,3%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2009,3938.315128,3938.315128,3938.315128,3938.315128,3259.48551,-17%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2010,924.7438313,924.7438313,924.7438313,924.7438313,1445.033677,56%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2011,2366.73253,2366.73253,2366.73253,2366.73253,2331.565778,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2012,2880.805535,2880.805535,2880.805535,2880.805535,2838.280546,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2013,122.1650154,122.1650154,122.1650154,122.1650154,157.0225508,29%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2014,5033.588536,5033.588536,5033.588536,5033.588536,5027.726575,0%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2015,5633.85657,5633.85657,5633.85657,5633.85657,5529.541086,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2016,2572.328169,2572.328169,2572.328169,2572.328169,2612.433567,2%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2017,3362.067004,3362.067004,3362.067004,3362.067004,3323.294814,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2018,2843.125062,2843.125062,2843.125062,2843.125062,2730.131986,-4%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2019,3411.13534,3411.13534,3411.13534,3411.13534,2396.137406,-30%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2020,446.7080784,446.7080784,446.7080784,446.7080784,504.9474479,13%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2021,4392.284242,4392.284242,4392.284242,4392.284242,1280.552377,-71%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2022,554.750846,554.750846,554.750846,554.750846,2259.032287,307%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2023,1007.864388,1007.864388,1007.864388,1007.864388,1017.15848,1%,NA,NA,1985,TRUE,CK_Yukon
CK-75,WhiteandTribs,Chinook,2024,768.9798913,768.9798913,768.9798913,768.9798913,766.8720386,0%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1985,2149.310619,2149.310619,2149.310619,2149.310619,2050.599585,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1986,5279.177164,5279.177164,5279.177164,5279.177164,3680.07433,-30%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1987,3307.233367,3307.233367,3307.233367,3307.233367,3531.036655,7%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1988,5755.942925,5755.942925,5755.942925,5755.942925,13874.42853,141%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1989,1807.549363,1807.549363,1807.549363,1807.549363,5541.700343,207%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1990,7918.054632,7918.054632,7918.054632,7918.054632,20560.47337,160%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1991,15827.64251,15827.64251,15827.64251,15827.64251,9744.650825,-38%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1992,9918.885859,9918.885859,9918.885859,9918.885859,6956.181726,-30%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1993,10032.05555,10032.05555,10032.05555,10032.05555,14138.73416,41%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1994,10067.30066,10067.30066,10067.30066,10067.30066,16750.38875,66%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1995,13515.21267,13515.21267,13515.21267,13515.21267,9916.144786,-27%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1996,7106.71471,7106.71471,7106.71471,7106.71471,6773.441804,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1997,9944.151859,9944.151859,9944.151859,9944.151859,9282.05676,-7%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1998,4943.357121,4943.357121,4943.357121,4943.357121,5957.871277,21%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,1999,3872.494873,3872.494873,3872.494873,3872.494873,4521.127952,17%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2000,6136.575757,6136.575757,6136.575757,6136.575757,2709.565441,-56%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2001,8928.928587,8928.928587,8928.928587,8928.928587,7415.29705,-17%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2002,6004.363874,6004.363874,6004.363874,6004.363874,7715.865763,29%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2003,15307.18639,15307.18639,15307.18639,15307.18639,19040.32957,24%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2004,11148.14424,11148.14424,11148.14424,11148.14424,11722.60377,5%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2005,9989.18374,9989.18374,9989.18374,9989.18374,10446.43808,5%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2006,10707.49574,10707.49574,10707.49574,10707.49574,10655.34892,0%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2007,4821.974598,4821.974598,4821.974598,4821.974598,5503.327589,14%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2008,5400.495887,5400.495887,5400.495887,5400.495887,5489.10471,2%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2009,8695.250248,8695.250248,8695.250248,8695.250248,7190.755065,-17%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2010,2682.667845,2682.667845,2682.667845,2682.667845,4186.241271,56%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2011,4418.82642,4418.82642,4418.82642,4418.82642,4354.942166,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2012,4543.840494,4543.840494,4543.840494,4543.840494,4479.554513,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2013,530.2225027,530.2225027,530.2225027,530.2225027,667.6445406,26%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2014,5446.228311,5446.228311,5446.228311,5446.228311,5449.453231,0%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2015,6122.970405,6122.970405,6122.970405,6122.970405,5970.763041,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2016,7382.964989,7382.964989,7382.964989,7382.964989,7363.75736,0%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2017,6493.718727,6493.718727,6493.718727,6493.718727,6451.882013,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2018,5705.912379,5705.912379,5705.912379,5705.912379,5171.87179,-9%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2019,2769.127353,2769.127353,2769.127353,2769.127353,2604.218616,-6%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2020,7256.79021,7256.79021,7256.79021,7256.79021,1920.709255,-74%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2021,3418.803439,3418.803439,3418.803439,3418.803439,3138.862171,-8%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2022,622.365982,622.365982,622.365982,622.365982,606.0449324,-3%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2023,2122.353981,2122.353981,2122.353981,2122.353981,2129.491207,0%,NA,NA,1985,TRUE,CK_Yukon
CK-76,NorthernYukonR.andTribs,Chinook,2024,2801.64411,2801.64411,2801.64411,2801.64411,2678.533942,-4%,NA,NA,1985,TRUE,CK_Yukon
