"","population","year","harv","cv"
"1","NorthernYukonR.andtribs.","1985",2950.06822105765,0.140912364
"2","NorthernYukonR.andtribs.","1986",4313.28544738948,0.131097544
"3","NorthernYukonR.andtribs.","1987",6308.73781456135,0.134475578
"4","NorthernYukonR.andtribs.","1988",26561.201611073,0.127990569
"5","NorthernYukonR.andtribs.","1989",3450.04539549817,0.128515546
"6","NorthernYukonR.andtribs.","1990",8426.10063815333,0.135257381
"7","NorthernYukonR.andtribs.","1991",10711.4650427161,0.128439122
"8","NorthernYukonR.andtribs.","1992",17895.8346529468,0.143929542
"9","NorthernYukonR.andtribs.","1993",32615.2152706122,0.136226665
"10","NorthernYukonR.andtribs.","1994",33831.3779790922,0.130780246
"11","NorthernYukonR.andtribs.","1995",17585.9088179584,0.139701013
"12","NorthernYukonR.andtribs.","1996",5435.4569893562,0.130230535
"13","NorthernYukonR.andtribs.","1997",3960.84973502449,0.142866215
"14","NorthernYukonR.andtribs.","1998",6565.85329530051,0.142760007
"15","NorthernYukonR.andtribs.","1999",3231.97030208239,0.130481325
"16","NorthernYukonR.andtribs.","2000",2556.00703049955,0.136242213
"17","NorthernYukonR.andtribs.","2001",3144.29438831238,0.143071125
"18","NorthernYukonR.andtribs.","2002",9049.74748430666,0.128987366
"19","NorthernYukonR.andtribs.","2003",4172.43141425597,0.123107603
"20","NorthernYukonR.andtribs.","2004",13785.3210622402,0.128508529
"21","NorthernYukonR.andtribs.","2005",13248.3661295754,0.117971239
"22","NorthernYukonR.andtribs.","2006",9936.02013916089,0.129842566
"23","NorthernYukonR.andtribs.","2007",7339.28949195932,0.131906287
"24","NorthernYukonR.andtribs.","2008",5664.96584365465,0.125255227
"25","NorthernYukonR.andtribs.","2009",2395.77481061827,0.126748405
"26","NorthernYukonR.andtribs.","2010",2131.30971294923,0.137307023
"27","NorthernYukonR.andtribs.","2011",2221.81015575241,0.125075681
"28","NorthernYukonR.andtribs.","2012",2752.43304932439,0.13842444
"29","NorthernYukonR.andtribs.","2013",244.45235899966,0.156086008
"30","NorthernYukonR.andtribs.","2014",157.735071572178,0.169597727
"31","NorthernYukonR.andtribs.","2015",481.356998468158,0.128993897
"32","NorthernYukonR.andtribs.","2016",1555.17783182874,0.133122712
"33","NorthernYukonR.andtribs.","2017",2859.84857909357,0.158203776
"34","NorthernYukonR.andtribs.","2018",2364.7685141673,0.132341508
"35","NorthernYukonR.andtribs.","2019",2817.42174886122,0.128571558
"36","NorthernYukonR.andtribs.","2020",1358.89487876713,0.155626621
"37","NorthernYukonR.andtribs.","2021",190.973793208999,0.126471837
"38","NorthernYukonR.andtribs.","2022",69.8999281941988,0.143508469
"39","NorthernYukonR.andtribs.","2023",179.785686161481,0.141114649
"40","NorthernYukonR.andtribs.","2024",150.067887731437,0.141114649
"41","Whiteandtribs.","1985",3383.91505250087,0.140912364
"42","Whiteandtribs.","1986",6277.46127286801,0.131097544
"43","Whiteandtribs.","1987",8280.29829857327,0.134475578
"44","Whiteandtribs.","1988",3481.20015011483,0.127990569
"45","Whiteandtribs.","1989",2543.18164301756,0.128515546
