metric_name,Metric
escapement,Escapement
harvest,Harvest
ER,Exploitation rate
pr.no.harv,Prop. years with no harvest
pr.basic.needs,Prop. years basic needs met
n.above.USR,No. CUs above USR
n.between.ref,No. CUs between reference points
n.below.LSR,No. CUs below LSR
n.extinct,No. CUs extinct
