"","population","year","harv","cv"
"1","NorthernYukonR.andtribs.","1985",1871.06788240515,0.140912364
"2","NorthernYukonR.andtribs.","1986",2343.68647126819,0.131097544
"3","NorthernYukonR.andtribs.","1987",5925.25366379911,0.134475578
"4","NorthernYukonR.andtribs.","1988",29777.7996261518,0.127990569
"5","NorthernYukonR.andtribs.","1989",4020.50839100445,0.128515546
"6","NorthernYukonR.andtribs.","1990",7430.82062346499,0.135257381
"7","NorthernYukonR.andtribs.","1991",10307.7067591413,0.128439122
"8","NorthernYukonR.andtribs.","1992",16142.5742670561,0.143929542
"9","NorthernYukonR.andtribs.","1993",29283.4732733515,0.136226665
"10","NorthernYukonR.andtribs.","1994",31065.2311626288,0.130780246
"11","NorthernYukonR.andtribs.","1995",15595.0051615196,0.139701013
"12","NorthernYukonR.andtribs.","1996",4233.75996830092,0.130230535
"13","NorthernYukonR.andtribs.","1997",2481.0903579532,0.142866215
"14","NorthernYukonR.andtribs.","1998",5467.04728360372,0.142760007
"15","NorthernYukonR.andtribs.","1999",2479.65505836144,0.130481325
"16","NorthernYukonR.andtribs.","2000",1539.26481733065,0.136242213
"17","NorthernYukonR.andtribs.","2001",2423.0991398888,0.143071125
"18","NorthernYukonR.andtribs.","2002",8072.96130652554,0.128987366
"19","NorthernYukonR.andtribs.","2003",3294.16544117705,0.123107603
"20","NorthernYukonR.andtribs.","2004",12151.8811949634,0.128508529
"21","NorthernYukonR.andtribs.","2005",13165.9190774327,0.117971239
"22","NorthernYukonR.andtribs.","2006",10745.2667028127,0.129842566
"23","NorthernYukonR.andtribs.","2007",8391.73652066542,0.131906287
"24","NorthernYukonR.andtribs.","2008",5719.86570417769,0.125255227
"25","NorthernYukonR.andtribs.","2009",2853.82769625312,0.126748405
"26","NorthernYukonR.andtribs.","2010",2619.99529275941,0.137307023
"27","NorthernYukonR.andtribs.","2011",2264.70178180818,0.125075681
"28","NorthernYukonR.andtribs.","2012",2717.45703964792,0.13842444
"29","NorthernYukonR.andtribs.","2013",202.291640123379,0.156086008
"30","NorthernYukonR.andtribs.","2014",146.797556966756,0.169597727
"31","NorthernYukonR.andtribs.","2015",417.134265977112,0.128993897
"32","NorthernYukonR.andtribs.","2016",1538.35737021153,0.133122712
"33","NorthernYukonR.andtribs.","2017",2911.08019709392,0.158203776
"34","NorthernYukonR.andtribs.","2018",2412.99179121214,0.132341508
"35","NorthernYukonR.andtribs.","2019",2670.69685322031,0.128571558
"36","NorthernYukonR.andtribs.","2020",3926.66125317562,0.155626621
"37","NorthernYukonR.andtribs.","2021",162.038107950542,0.126471837
"38","NorthernYukonR.andtribs.","2022",69.9011531242774,0.143508469
"39","NorthernYukonR.andtribs.","2023",179.248387324533,0.141114649
"40","NorthernYukonR.andtribs.","2024",141.330696255517,0.141114649
"41","Whiteandtribs.","1985",2331.448081996,0.140912364
"42","Whiteandtribs.","1986",4906.02998799255,0.131097544
"43","Whiteandtribs.","1987",8197.98895379885,0.134475578
"44","Whiteandtribs.","1988",3645.68862805488,0.127990569
"45","Whiteandtribs.","1989",2575.23784076285,0.128515546
"46","Whiteandtribs.","1990",1545.39621187359,0.135257381
"47","Whiteandtribs.","1991",2253.93406820229,0.128439122
"48","Whiteandtribs.","1992",8934.00497163888,0.143929542
"49","Whiteandtribs.","1993",21094.3599084281,0.136226665
"50","Whiteandtribs.","1994",14348.1664314737,0.130780246
"51","Whiteandtribs.","1995",10407.0952301445,0.139701013
"52","Whiteandtribs.","1996",12014.6398912455,0.130230535
"53","Whiteandtribs.","1997",3902.52411804129,0.142866215
"54","Whiteandtribs.","1998",3108.91365338854,0.142760007
"55","Whiteandtribs.","1999",3712.634448815,0.130481325
"56","Whiteandtribs.","2000",2706.49966245537,0.136242213
"57","Whiteandtribs.","2001",1716.78463151726,0.143071125
"58","Whiteandtribs.","2002",1666.70694723505,0.128987366
"59","Whiteandtribs.","2003",1791.76784261384,0.123107603
"60","Whiteandtribs.","2004",3260.04429967954,0.128508529
"61","Whiteandtribs.","2005",5446.61311525204,0.117971239
"62","Whiteandtribs.","2006",3049.93598099111,0.129842566
"63","Whiteandtribs.","2007",5300.16200494834,0.131906287
"64","Whiteandtribs.","2008",1914.83401324392,0.125255227
"65","Whiteandtribs.","2009",1289.20852601947,0.126748405
"66","Whiteandtribs.","2010",901.222079167556,0.137307023
"67","Whiteandtribs.","2011",1214.70834597475,0.125075681
"68","Whiteandtribs.","2012",1727.37865231589,0.13842444
