"","population","year","harv","cv"
"1","NorthernYukonR.andtribs.","1985",5697.9623287229,0.140912364
"2","NorthernYukonR.andtribs.","1986",10829.2966690179,0.131097544
"3","NorthernYukonR.andtribs.","1987",14752.0169516627,0.134475578
"4","NorthernYukonR.andtribs.","1988",5940.34549914894,0.127990569
"5","NorthernYukonR.andtribs.","1989",14311.5098511857,0.128515546
"6","NorthernYukonR.andtribs.","1990",18110.0947900202,0.135257381
"7","NorthernYukonR.andtribs.","1991",21510.3994276965,0.128439122
"8","NorthernYukonR.andtribs.","1992",24474.3515736836,0.143929542
"9","NorthernYukonR.andtribs.","1993",22097.3768470968,0.136226665
"10","NorthernYukonR.andtribs.","1994",21354.881995819,0.130780246
"11","NorthernYukonR.andtribs.","1995",23684.0249537529,0.139701013
"12","NorthernYukonR.andtribs.","1996",9731.18880295705,0.130230535
"13","NorthernYukonR.andtribs.","1997",11817.3989258102,0.142866215
"14","NorthernYukonR.andtribs.","1998",9967.97709807535,0.142760007
"15","NorthernYukonR.andtribs.","1999",5750.03103441837,0.130481325
"16","NorthernYukonR.andtribs.","2000",7564.31130841563,0.136242213
"17","NorthernYukonR.andtribs.","2001",4438.06190138627,0.143071125
"18","NorthernYukonR.andtribs.","2002",5618.9065493344,0.128987366
"19","NorthernYukonR.andtribs.","2003",10343.946682236,0.123107603
"20","NorthernYukonR.andtribs.","2004",14166.2626365152,0.128508529
"21","NorthernYukonR.andtribs.","2005",8963.96037089233,0.117971239
"22","NorthernYukonR.andtribs.","2006",10940.9514637275,0.129842566
"23","NorthernYukonR.andtribs.","2007",7402.92035008152,0.131906287
"24","NorthernYukonR.andtribs.","2008",5663.78754824989,0.125255227
"25","NorthernYukonR.andtribs.","2009",2449.35389308197,0.126748405
"26","NorthernYukonR.andtribs.","2010",6765.17067564816,0.137307023
"27","NorthernYukonR.andtribs.","2011",2198.34789829586,0.125075681
"28","NorthernYukonR.andtribs.","2012",2678.98722939064,0.13842444
"29","NorthernYukonR.andtribs.","2013",205.533689175053,0.156086008
"30","NorthernYukonR.andtribs.","2014",148.462059260279,0.169597727
"31","NorthernYukonR.andtribs.","2015",475.855387360906,0.128993897
"32","NorthernYukonR.andtribs.","2016",1563.54502800917,0.133122712
"33","NorthernYukonR.andtribs.","2017",2843.92948865073,0.158203776
"34","NorthernYukonR.andtribs.","2018",2303.09313083043,0.132341508
"35","NorthernYukonR.andtribs.","2019",2799.53767786231,0.128571558
"36","NorthernYukonR.andtribs.","2020",5039.30587306199,0.155626621
"37","NorthernYukonR.andtribs.","2021",188.075029774727,0.126471837
"38","NorthernYukonR.andtribs.","2022",220.518008959119,0.143508469
"39","NorthernYukonR.andtribs.","2023",179.328711231418,0.141114649
"40","NorthernYukonR.andtribs.","2024",131.418019503267,0.141114649
"41","Whiteandtribs.","1985",6213.87524665578,0.140912364
"42","Whiteandtribs.","1986",11192.4780818869,0.131097544
"43","Whiteandtribs.","1987",7443.44277564638,0.134475578
"44","Whiteandtribs.","1988",12206.4581454395,0.127990569
"45","Whiteandtribs.","1989",2008.34667512055,0.128515546
"46","Whiteandtribs.","1990",5651.25441119839,0.135257381
"47","Whiteandtribs.","1991",2306.65373680702,0.128439122
"48","Whiteandtribs.","1992",11668.1429933583,0.143929542
"49","Whiteandtribs.","1993",16898.1357003764,0.136226665
"50","Whiteandtribs.","1994",13434.7297009602,0.130780246
"51","Whiteandtribs.","1995",9416.9177541066,0.139701013
"52","Whiteandtribs.","1996",15057.5042116575,0.130230535
"53","Whiteandtribs.","1997",6081.59134381661,0.142866215
"54","Whiteandtribs.","1998",4256.11223336771,0.142760007
"55","Whiteandtribs.","1999",4865.02260220929,0.130481325
"56","Whiteandtribs.","2000",7571.6599356434,0.136242213
"57","Whiteandtribs.","2001",2671.95141658333,0.143071125
"58","Whiteandtribs.","2002",2206.96593893076,0.128987366
"59","Whiteandtribs.","2003",2844.52524039792,0.123107603
"60","Whiteandtribs.","2004",4128.92757512146,0.128508529
"61","Whiteandtribs.","2005",3775.05574544777,0.117971239
"62","Whiteandtribs.","2006",3095.36637220189,0.129842566
"63","Whiteandtribs.","2007",4674.94322832208,0.131906287
"64","Whiteandtribs.","2008",2111.96324689365,0.125255227
"65","Whiteandtribs.","2009",1110.86824226824,0.126748405
"66","Whiteandtribs.","2010",2335.45890595894,0.137307023
"67","Whiteandtribs.","2011",1177.90491197795,0.125075681
"68","Whiteandtribs.","2012",1698.2547313099,0.13842444
"69","Whiteandtribs.","2013",47.2648899138566,0.156086008
"70","Whiteandtribs.","2014",137.115488398036,0.169597727
"71","Whiteandtribs.","2015",313.425907091514,0.128993897
"72","Whiteandtribs.","2016",537.928471879487,0.133122712
"73","Whiteandtribs.","2017",1473.71526990901,0.158203776
"74","Whiteandtribs.","2018",1139.91023852679,0.132341508
"75","Whiteandtribs.","2019",3450.33691114075,0.128571558
