"HCR","CU","year","S.50","S.25","S.75"
"fixed.ER","Big.Salmon",2024,1905.5,1842.75,1965
"fixed.ER","Big.Salmon",2025,790,657.25,947
"fixed.ER","Big.Salmon",2026,674.5,539.25,881
"fixed.ER","Big.Salmon",2027,682,519.75,890.25
"fixed.ER","Big.Salmon",2028,676,519,902.5
"fixed.ER","Big.Salmon",2029,614.5,465.25,851.25
"fixed.ER","Big.Salmon",2030,494,361.75,721.5
"fixed.ER","Big.Salmon",2031,326,216.75,484
"fixed.ER","Big.Salmon",2032,276,170,442.25
"fixed.ER","Big.Salmon",2033,284.5,170.75,440
"fixed.ER","Big.Salmon",2034,255.5,164,435.25
"fixed.ER","Big.Salmon",2035,224,138.75,373.5
"fixed.ER","Big.Salmon",2036,172.5,104,312.5
"fixed.ER","Big.Salmon",2037,136,73.75,240.5
"fixed.ER","Big.Salmon",2038,121,62,228
"fixed.ER","Big.Salmon",2039,113,57,214.25
"fixed.ER","Big.Salmon",2040,108,53,210
"fixed.ER","Big.Salmon",2041,87.5,0,173
"fixed.ER","Big.Salmon",2042,73,0,141.5
"fixed.ER","Big.Salmon",2043,58,0,129
"fixed.ER","MiddleYukonR.andtribs.",2024,6321.5,6040,6583.5
"fixed.ER","MiddleYukonR.andtribs.",2025,2542.5,2166.25,3165.75
"fixed.ER","MiddleYukonR.andtribs.",2026,2551,1945.25,3582.5
"fixed.ER","MiddleYukonR.andtribs.",2027,2272,1659.25,3187.25
"fixed.ER","MiddleYukonR.andtribs.",2028,1682,1223,2390.25
"fixed.ER","MiddleYukonR.andtribs.",2029,1604.5,1082.25,2157.5
"fixed.ER","MiddleYukonR.andtribs.",2030,1729.5,1203.5,2455.25
"fixed.ER","MiddleYukonR.andtribs.",2031,1251,828.75,2039
"fixed.ER","MiddleYukonR.andtribs.",2032,1151,665,1968.25
"fixed.ER","MiddleYukonR.andtribs.",2033,981,555,1731.5
"fixed.ER","MiddleYukonR.andtribs.",2034,841,476.25,1483
"fixed.ER","MiddleYukonR.andtribs.",2035,781,449.5,1414.25
"fixed.ER","MiddleYukonR.andtribs.",2036,752,422.25,1366.25
"fixed.ER","MiddleYukonR.andtribs.",2037,642.5,314.75,1264
"fixed.ER","MiddleYukonR.andtribs.",2038,572.5,262,1154.25
"fixed.ER","MiddleYukonR.andtribs.",2039,502,225.25,1038
"fixed.ER","MiddleYukonR.andtribs.",2040,451,202,957.5
"fixed.ER","MiddleYukonR.andtribs.",2041,417.5,169,879.5
"fixed.ER","MiddleYukonR.andtribs.",2042,387.5,151.75,881
"fixed.ER","MiddleYukonR.andtribs.",2043,333,123,860.75
"fixed.ER","Nordenskiold",2024,1411,1328.75,1515
"fixed.ER","Nordenskiold",2025,680,542.75,901.25
"fixed.ER","Nordenskiold",2026,711.5,510.5,1028.5
"fixed.ER","Nordenskiold",2027,616,421,896.75
"fixed.ER","Nordenskiold",2028,600,401,886.25
"fixed.ER","Nordenskiold",2029,693.5,472,1024.5
"fixed.ER","Nordenskiold",2030,609.5,394.75,934.25
"fixed.ER","Nordenskiold",2031,474.5,286,774
"fixed.ER","Nordenskiold",2032,452,249.5,702.5
"fixed.ER","Nordenskiold",2033,428.5,243.75,705
"fixed.ER","Nordenskiold",2034,427,239.25,687
"fixed.ER","Nordenskiold",2035,421.5,227.75,728.5
"fixed.ER","Nordenskiold",2036,355,199.75,686.5
"fixed.ER","Nordenskiold",2037,329.5,155.75,693
"fixed.ER","Nordenskiold",2038,306,138,634.25
"fixed.ER","Nordenskiold",2039,294,127.75,595
"fixed.ER","Nordenskiold",2040,310.5,126.5,602.5
"fixed.ER","Nordenskiold",2041,281.5,109.75,583.75
"fixed.ER","Nordenskiold",2042,265,104,558
"fixed.ER","Nordenskiold",2043,245.5,90.75,513
"fixed.ER","NorthernYukonR.andtribs.",2024,2497.5,2256,2810.5
"fixed.ER","NorthernYukonR.andtribs.",2025,1201,972,1580.5
"fixed.ER","NorthernYukonR.andtribs.",2026,1251.5,922,1683
"fixed.ER","NorthernYukonR.andtribs.",2027,909,638.25,1254
"fixed.ER","NorthernYukonR.andtribs.",2028,658,462.75,956
"fixed.ER","NorthernYukonR.andtribs.",2029,803.5,544,1123.25
"fixed.ER","NorthernYukonR.andtribs.",2030,729.5,489.75,1081.5
"fixed.ER","NorthernYukonR.andtribs.",2031,538,324.5,915.25
"fixed.ER","NorthernYukonR.andtribs.",2032,442,248,792.5
"fixed.ER","NorthernYukonR.andtribs.",2033,370,191,663.75
"fixed.ER","NorthernYukonR.andtribs.",2034,325,167.75,616.25
"fixed.ER","NorthernYukonR.andtribs.",2035,309.5,166,618.25
"fixed.ER","NorthernYukonR.andtribs.",2036,286.5,150.25,560.25
"fixed.ER","NorthernYukonR.andtribs.",2037,222.5,105.75,497.25
"fixed.ER","NorthernYukonR.andtribs.",2038,193.5,83,437.75
"fixed.ER","NorthernYukonR.andtribs.",2039,161.5,62,390.5
"fixed.ER","NorthernYukonR.andtribs.",2040,147,57,379.25
"fixed.ER","NorthernYukonR.andtribs.",2041,130.5,52,332.25
"fixed.ER","NorthernYukonR.andtribs.",2042,115.5,0,330.5
"fixed.ER","NorthernYukonR.andtribs.",2043,98.5,0,293.5
"fixed.ER","Pelly",2024,1800.5,1651,1967.25
"fixed.ER","Pelly",2025,876,711.75,1065
"fixed.ER","Pelly",2026,842,656,1117.25
"fixed.ER","Pelly",2027,627.5,470,843.5
"fixed.ER","Pelly",2028,423,321.75,554
"fixed.ER","Pelly",2029,417,305.75,583.5
"fixed.ER","Pelly",2030,336,244,489.5
"fixed.ER","Pelly",2031,237.5,154,366
"fixed.ER","Pelly",2032,185,117,323.25
"fixed.ER","Pelly",2033,147,88.75,249
"fixed.ER","Pelly",2034,112.5,66,195.25
"fixed.ER","Pelly",2035,99,57,183.25
"fixed.ER","Pelly",2036,76,0,150
"fixed.ER","Pelly",2037,59,0,120.25
"fixed.ER","Pelly",2038,0,0,101
"fixed.ER","Pelly",2039,0,0,77
"fixed.ER","Pelly",2040,0,0,65.25
"fixed.ER","Pelly",2041,0,0,57.25
"fixed.ER","Pelly",2042,0,0,0
"fixed.ER","Pelly",2043,0,0,0
"fixed.ER","Stewart",2024,2084.5,1798.75,2476
"fixed.ER","Stewart",2025,899,694.75,1150.75
"fixed.ER","Stewart",2026,795.5,588,1125.5
"fixed.ER","Stewart",2027,583.5,423,842.75
"fixed.ER","Stewart",2028,408,283.75,626.25
"fixed.ER","Stewart",2029,570.5,390,844.75
"fixed.ER","Stewart",2030,636.5,408.75,952.5
"fixed.ER","Stewart",2031,489,292.75,800
"fixed.ER","Stewart",2032,392.5,225,682.25
"fixed.ER","Stewart",2033,320.5,171.75,621.5
"fixed.ER","Stewart",2034,297,146.75,587.75
