"","Big.Salmon","MiddleYukonR.andtribs.","Nordenskiold","NorthernYukonR.andtribs.","Pelly","Stewart","UpperYukonR.","Whiteandtribs.","YukonR.Teslinheadwaters"
"Big.Salmon",0.0454364780089129,0.0395034657219069,0.0743400153026916,0.0257574503271084,0.0302228064153494,0.0512319071935762,0.0416118953053204,0.0296628224010926,0.0326653715855286
"MiddleYukonR.andtribs.",0.0395034657219069,0.0404421810861308,0.0600217601006387,0.0267482580625998,0.0299442845332776,0.0509745092689913,0.0495748495675133,0.0298406669154431,0.0319940280442271
"Nordenskiold",0.0743400153026916,0.0600217601006387,0.359709343498134,0.0397574798900084,0.0330785441421545,0.084026765192173,0.0685961467411139,0.0703339925198835,0.062193701859256
"NorthernYukonR.andtribs.",0.0257574503271084,0.0267482580625998,0.0397574798900084,0.0267628728388671,0.0233680381528729,0.0365037035607071,0.0441258724540663,0.0216725815040479,0.0233435051990763
"Pelly",0.0302228064153494,0.0299442845332776,0.0330785441421545,0.0233680381528729,0.0328652758102001,0.0462654825897981,0.0540029807843513,0.0184252862976067,0.0281917191621409
"Stewart",0.0512319071935762,0.0509745092689913,0.084026765192173,0.0365037035607071,0.0462654825897981,0.0860305894912244,0.0736933211457386,0.0270314705595124,0.0455756398376414
"UpperYukonR.",0.0416118953053204,0.0495748495675133,0.0685961467411139,0.0441258724540663,0.0540029807843513,0.0736933211457386,0.191519323353547,0.035509088361049,0.0559254834288541
"Whiteandtribs.",0.0296628224010926,0.0298406669154431,0.0703339925198835,0.0216725815040479,0.0184252862976067,0.0270314705595124,0.035509088361049,0.0568976182502151,0.0355024537912964
"YukonR.Teslinheadwaters",0.0326653715855286,0.0319940280442271,0.062193701859256,0.0233435051990763,0.0281917191621409,0.0455756398376414,0.0559254834288541,0.0355024537912964,0.0542886871947749
