"","Big.Salmon","MiddleYukonR.andtribs.","Nordenskiold","NorthernYukonR.andtribs.","Pelly","Stewart","UpperYukonR.","Whiteandtribs.","YukonR.Teslinheadwaters"
"Big.Salmon",0.504054435025361,0.433063952013577,0.346314561709409,0.519091623026729,0.503021893703173,0.437442656868882,0.45716580628104,0.453328199247274,0.379226938537789
"MiddleYukonR.andtribs.",0.433063952013577,0.449821832422923,0.335502620716599,0.479636059424862,0.454459373771488,0.426473543362017,0.413596831384673,0.416563963434257,0.334754727817594
"Nordenskiold",0.346314561709409,0.335502620716599,0.422611444828677,0.34354752962915,0.347929441854007,0.420762877348503,0.348017389338779,0.356867872970737,0.281422291079542
"NorthernYukonR.andtribs.",0.519091623026729,0.479636059424862,0.34354752962915,0.781623262692581,0.598513690520125,0.534159057001458,0.501949614522001,0.515988125294275,0.452756855050933
"Pelly",0.503021893703173,0.454459373771488,0.347929441854007,0.598513690520125,0.616146957722414,0.502370825676027,0.491830831649288,0.450489263261838,0.408071178752153
"Stewart",0.437442656868882,0.426473543362017,0.420762877348503,0.534159057001458,0.502370825676027,0.584615195158724,0.403787743721135,0.417497156152693,0.396932985008812
"UpperYukonR.",0.45716580628104,0.413596831384673,0.348017389338779,0.501949614522001,0.491830831649288,0.403787743721135,0.773237494289095,0.502235516691384,0.443254484402129
"Whiteandtribs.",0.453328199247274,0.416563963434257,0.356867872970737,0.515988125294275,0.450489263261838,0.417497156152693,0.502235516691384,0.564405551941363,0.378938348308668
"YukonR.Teslinheadwaters",0.379226938537789,0.334754727817594,0.281422291079542,0.452756855050933,0.408071178752153,0.396932985008812,0.443254484402129,0.378938348308668,0.44254255597353
