"HCR","CU","year","S.50","S.25","S.75"
"IMEG","Big.Salmon",2024,1896.5,1834,1960
"IMEG","Big.Salmon",2025,2368.5,2012.5,2761.75
"IMEG","Big.Salmon",2026,3590.5,2709.75,4538
"IMEG","Big.Salmon",2027,5245.5,3702.25,6879.25
"IMEG","Big.Salmon",2028,5634.5,4211.25,7275
"IMEG","Big.Salmon",2029,5357.5,3900.5,6940.5
"IMEG","Big.Salmon",2030,5402,3843,7245.5
"IMEG","Big.Salmon",2031,5771.5,3868.75,7940.75
"IMEG","Big.Salmon",2032,4256,2597.5,6454.75
"IMEG","Big.Salmon",2033,4361.5,2612,6552
"IMEG","Big.Salmon",2034,4567.5,2806.75,6591.25
"IMEG","Big.Salmon",2035,4575.5,2783.75,6955.25
"IMEG","Big.Salmon",2036,4376.5,2781,6770
"IMEG","Big.Salmon",2037,4358,2732,6641.25
"IMEG","Big.Salmon",2038,4418.5,2684,6480.5
"IMEG","Big.Salmon",2039,4281,2597.25,6538.5
"IMEG","Big.Salmon",2040,4118.5,2590.25,6294.25
"IMEG","Big.Salmon",2041,4271.5,2585.75,6525.5
"IMEG","Big.Salmon",2042,4188.5,2650.75,6475.5
"IMEG","Big.Salmon",2043,4350.5,2839,6231.25
"IMEG","Big.Salmon",2044,4212.5,2631.5,6385.25
"IMEG","Big.Salmon",2045,4231.5,2658,6526.5
"IMEG","Big.Salmon",2046,4426.5,2711,6620
"IMEG","Big.Salmon",2047,4320.5,2633.75,6498.5
"IMEG","Big.Salmon",2048,4335,2607.25,6582
"IMEG","Big.Salmon",2049,4229,2537.25,6589.75
"IMEG","Big.Salmon",2050,4355,2790.75,6595
"IMEG","Big.Salmon",2051,4194.5,2602.75,6464.25
"IMEG","MiddleYukonR.andtribs.",2024,4759,4302.75,5180.5
"IMEG","MiddleYukonR.andtribs.",2025,6211,5123,7374
"IMEG","MiddleYukonR.andtribs.",2026,10036.5,7656.25,12669.25
"IMEG","MiddleYukonR.andtribs.",2027,13074,9316.25,17175.75
"IMEG","MiddleYukonR.andtribs.",2028,11448,8351,14798
"IMEG","MiddleYukonR.andtribs.",2029,10237,7392.5,13591.75
"IMEG","MiddleYukonR.andtribs.",2030,12203,8533,16070.75
"IMEG","MiddleYukonR.andtribs.",2031,13805.5,9615.75,18585
"IMEG","MiddleYukonR.andtribs.",2032,10351.5,6505.75,15504.25
"IMEG","MiddleYukonR.andtribs.",2033,10235.5,6368.25,15608.5
"IMEG","MiddleYukonR.andtribs.",2034,10342.5,6686.75,15753.75
"IMEG","MiddleYukonR.andtribs.",2035,10710,6350.25,16533.75
"IMEG","MiddleYukonR.andtribs.",2036,10510,6776.5,16298
"IMEG","MiddleYukonR.andtribs.",2037,10609.5,6400.75,16011.75
"IMEG","MiddleYukonR.andtribs.",2038,10414.5,6564.25,15302.75
"IMEG","MiddleYukonR.andtribs.",2039,10185,6156.75,14734.25
"IMEG","MiddleYukonR.andtribs.",2040,9618.5,6328.75,14692.25
"IMEG","MiddleYukonR.andtribs.",2041,10132.5,6507,15496
"IMEG","MiddleYukonR.andtribs.",2042,10204.5,6152.25,15646.25
"IMEG","MiddleYukonR.andtribs.",2043,10535.5,6747,15231.25
"IMEG","MiddleYukonR.andtribs.",2044,9984.5,6381.25,15261.25
"IMEG","MiddleYukonR.andtribs.",2045,10083,6228.25,15884.25
"IMEG","MiddleYukonR.andtribs.",2046,10352,6555,15320
"IMEG","MiddleYukonR.andtribs.",2047,10286,6355,15577
"IMEG","MiddleYukonR.andtribs.",2048,10362,6132.25,15096.5
"IMEG","MiddleYukonR.andtribs.",2049,10197.5,6009.25,15222.25
"IMEG","MiddleYukonR.andtribs.",2050,10373,6314.5,15905.5
"IMEG","MiddleYukonR.andtribs.",2051,10141.5,6354.5,15544.25
"IMEG","Nordenskiold",2024,2079,2017.75,2152
"IMEG","Nordenskiold",2025,2569.5,1930.75,3579.5
"IMEG","Nordenskiold",2026,2963.5,1866.75,4739.75
"IMEG","Nordenskiold",2027,3231.5,1910,5283.75
"IMEG","Nordenskiold",2028,3506,1972.75,5514.5
"IMEG","Nordenskiold",2029,3387,1962.5,6030
"IMEG","Nordenskiold",2030,2961.5,1701.75,5038.25
"IMEG","Nordenskiold",2031,2137.5,1116.75,4048.75
"IMEG","Nordenskiold",2032,1201,575.75,2420.75
"IMEG","Nordenskiold",2033,1029,469.25,2121
"IMEG","Nordenskiold",2034,1082.5,437.75,2288.75
"IMEG","Nordenskiold",2035,1169.5,511.75,2509.25
"IMEG","Nordenskiold",2036,1282.5,633,2564.25
"IMEG","Nordenskiold",2037,1430,646.75,2678.75
"IMEG","Nordenskiold",2038,1382.5,688,2736.25
"IMEG","Nordenskiold",2039,1268,644.25,2698
"IMEG","Nordenskiold",2040,1331,624.5,2527.75
"IMEG","Nordenskiold",2041,1329,682.25,2740
"IMEG","Nordenskiold",2042,1423.5,709.75,2799.75
"IMEG","Nordenskiold",2043,1502.5,715.25,2922.5
"IMEG","Nordenskiold",2044,1461,716.75,2609
"IMEG","Nordenskiold",2045,1432,738,2869.75
"IMEG","Nordenskiold",2046,1517,723,2997
"IMEG","Nordenskiold",2047,1486.5,755.5,2912
"IMEG","Nordenskiold",2048,1543.5,792.75,2880.75
"IMEG","Nordenskiold",2049,1519,751.5,2866.75
"IMEG","Nordenskiold",2050,1548,753.25,3070.5
"IMEG","Nordenskiold",2051,1534.5,722.75,2939.25
"IMEG","NorthernYukonR.andtribs.",2024,2327,2098.75,2582.25
"IMEG","NorthernYukonR.andtribs.",2025,2787,2334.25,3371.25
"IMEG","NorthernYukonR.andtribs.",2026,4293,3321.25,5470.25
"IMEG","NorthernYukonR.andtribs.",2027,5473.5,3792.5,7312.5
"IMEG","NorthernYukonR.andtribs.",2028,5031,3626.75,6653.5
"IMEG","NorthernYukonR.andtribs.",2029,6084.5,4378.75,8040.25
"IMEG","NorthernYukonR.andtribs.",2030,6645.5,4709.5,8973.25
"IMEG","NorthernYukonR.andtribs.",2031,7031.5,4906.5,9468.5
"IMEG","NorthernYukonR.andtribs.",2032,5283,3201.75,7709.5
"IMEG","NorthernYukonR.andtribs.",2033,5356.5,3051.25,8137.75
"IMEG","NorthernYukonR.andtribs.",2034,5365.5,3469.75,8127
"IMEG","NorthernYukonR.andtribs.",2035,5784.5,3383.5,8865.25
"IMEG","NorthernYukonR.andtribs.",2036,5408.5,3480,8413.5
"IMEG","NorthernYukonR.andtribs.",2037,5466,3457.75,8457.5
"IMEG","NorthernYukonR.andtribs.",2038,5391,3385.25,7915.25
"IMEG","NorthernYukonR.andtribs.",2039,5230,3049.75,7963.5
"IMEG","NorthernYukonR.andtribs.",2040,4940.5,3139.5,7688.25
"IMEG","NorthernYukonR.andtribs.",2041,5120.5,3176.5,8167.25
"IMEG","NorthernYukonR.andtribs.",2042,5304,3202.5,7973
"IMEG","NorthernYukonR.andtribs.",2043,5349,3443.5,8047
"IMEG","NorthernYukonR.andtribs.",2044,5203.5,3154.75,7749.5
"IMEG","NorthernYukonR.andtribs.",2045,5323.5,3273.75,8056
"IMEG","NorthernYukonR.andtribs.",2046,5510,3415,8124.5
"IMEG","NorthernYukonR.andtribs.",2047,5424.5,3215.75,8050.75
"IMEG","NorthernYukonR.andtribs.",2048,5256,3245.5,7949.5
"IMEG","NorthernYukonR.andtribs.",2049,5290,3110.75,8241.75
"IMEG","NorthernYukonR.andtribs.",2050,5424,3382.5,8321
"IMEG","NorthernYukonR.andtribs.",2051,5256.5,3237.75,8096.25
"IMEG","Pelly",2024,1753,1589,1919.25
"IMEG","Pelly",2025,2944,2433,3450.25
"IMEG","Pelly",2026,5542.5,4317.75,6778.75
"IMEG","Pelly",2027,6865.5,4979.75,8990
"IMEG","Pelly",2028,4699,3580.75,5950.5
"IMEG","Pelly",2029,4694,3466.75,6159.25
"IMEG","Pelly",2030,5372,3772,7199.75
"IMEG","Pelly",2031,7129.5,4757.25,9709.25
"IMEG","Pelly",2032,5970.5,3691.5,9204.25
"IMEG","Pelly",2033,5830.5,3579.5,9155.25
"IMEG","Pelly",2034,5431,3584.75,8447
"IMEG","Pelly",2035,5923.5,3577.25,9123.25
"IMEG","Pelly",2036,6179.5,3932.75,9434.25
"IMEG","Pelly",2037,6503,3887.75,10160.75
"IMEG","Pelly",2038,6287.5,3768.25,9879.25
"IMEG","Pelly",2039,5988,3703.25,9250
"IMEG","Pelly",2040,5661.5,3591.5,8861
"IMEG","Pelly",2041,6134.5,3762.5,9412
"IMEG","Pelly",2042,6302,3805.75,9792.25
"IMEG","Pelly",2043,6438.5,4150.5,9927.75
"IMEG","Pelly",2044,6117,3780.75,9609.5
"IMEG","Pelly",2045,6219.5,3879.75,9637.5
"IMEG","Pelly",2046,6181.5,3980.5,9590.75
"IMEG","Pelly",2047,6270.5,3880.75,9568.5
"IMEG","Pelly",2048,6380,3818.25,9640
"IMEG","Pelly",2049,6142.5,3704.75,9901.25
"IMEG","Pelly",2050,6274.5,4080.25,9842.75
"IMEG","Pelly",2051,6235,3880.25,10017.25
"IMEG","Stewart",2024,2274,1984,2597
"IMEG","Stewart",2025,2658.5,2110.75,3290.75
"IMEG","Stewart",2026,3401,2522,4553
"IMEG","Stewart",2027,3498.5,2395,5003.75
"IMEG","Stewart",2028,2578,1857.5,3677.25
"IMEG","Stewart",2029,3687.5,2519.75,5172
"IMEG","Stewart",2030,4533.5,3103.75,6278.75
"IMEG","Stewart",2031,4366.5,2887.75,6038.25
"IMEG","Stewart",2032,2844.5,1766,4303
"IMEG","Stewart",2033,2762.5,1662,4230.5
"IMEG","Stewart",2034,2815,1692.75,4265.75
"IMEG","Stewart",2035,2911,1702,4450.75
"IMEG","Stewart",2036,2804.5,1675.75,4377.25
"IMEG","Stewart",2037,2821,1679.75,4270.5
"IMEG","Stewart",2038,2730.5,1694.75,4293.25
"IMEG","Stewart",2039,2649.5,1622,4175
"IMEG","Stewart",2040,2592.5,1669.75,4000.75
"IMEG","Stewart",2041,2705.5,1646.75,4381
"IMEG","Stewart",2042,2732.5,1670.75,4213.25
"IMEG","Stewart",2043,2833,1706.5,4094.5
"IMEG","Stewart",2044,2702,1526.25,4072.75
"IMEG","Stewart",2045,2638.5,1627.75,4133
"IMEG","Stewart",2046,2780.5,1694,4354.25
"IMEG","Stewart",2047,2781,1657.5,4185.5
"IMEG","Stewart",2048,2721.5,1686,4236.25
"IMEG","Stewart",2049,2632,1606.75,4223.75
"IMEG","Stewart",2050,2771.5,1701,4318.25
"IMEG","Stewart",2051,2685,1629.75,4394.5
"IMEG","UpperYukonR.",2024,2650.5,2290,3109.25
"IMEG","UpperYukonR.",2025,3133.5,2368,3999.5
"IMEG","UpperYukonR.",2026,3967.5,2796.75,5812.5
"IMEG","UpperYukonR.",2027,4001.5,2646.5,6254.75
"IMEG","UpperYukonR.",2028,2823,1820,4261.75
"IMEG","UpperYukonR.",2029,3302.5,1996.75,5076
"IMEG","UpperYukonR.",2030,4676,2937.5,7280.5
"IMEG","UpperYukonR.",2031,4587,2833,7190.5
"IMEG","UpperYukonR.",2032,3048,1719.75,5253.75
"IMEG","UpperYukonR.",2033,2884,1616.25,4901
"IMEG","UpperYukonR.",2034,2835.5,1750.75,4882.5
"IMEG","UpperYukonR.",2035,3004.5,1701.5,5302
"IMEG","UpperYukonR.",2036,2969,1723.75,5023.75
"IMEG","UpperYukonR.",2037,2972,1618,4974.25
"IMEG","UpperYukonR.",2038,2846,1552.75,4545.75
"IMEG","UpperYukonR.",2039,2725.5,1419.75,4450.5
"IMEG","UpperYukonR.",2040,2607,1459.75,4232.25
"IMEG","UpperYukonR.",2041,2636.5,1535.75,4741.25
"IMEG","UpperYukonR.",2042,2711,1585,4686.5
"IMEG","UpperYukonR.",2043,2744,1516.5,4786
"IMEG","UpperYukonR.",2044,2699,1494.75,4441.75
"IMEG","UpperYukonR.",2045,2618,1442,4730.25
"IMEG","UpperYukonR.",2046,2704.5,1479,4638.75
"IMEG","UpperYukonR.",2047,2667,1523.75,4719.25
"IMEG","UpperYukonR.",2048,2684,1600,4731
"IMEG","UpperYukonR.",2049,2794,1387,4945.25
"IMEG","UpperYukonR.",2050,2834.5,1492.75,5018.75
"IMEG","UpperYukonR.",2051,2639.5,1395.5,4812
"IMEG","Whiteandtribs.",2024,982.5,781.75,1246.5
"IMEG","Whiteandtribs.",2025,1318.5,1028,1681.5
"IMEG","Whiteandtribs.",2026,2118.5,1519.5,2813.25
"IMEG","Whiteandtribs.",2027,3476,2349.5,4544.5
"IMEG","Whiteandtribs.",2028,3684.5,2680.75,4882.25
"IMEG","Whiteandtribs.",2029,2754.5,1920,3792.5
"IMEG","Whiteandtribs.",2030,2642.5,1725.5,3665.5
"IMEG","Whiteandtribs.",2031,2928,1951.25,4468.75
"IMEG","Whiteandtribs.",2032,2571.5,1485.25,3951.75
"IMEG","Whiteandtribs.",2033,2841,1586.5,4373.25
"IMEG","Whiteandtribs.",2034,2785.5,1788.25,4523.5
"IMEG","Whiteandtribs.",2035,2743,1615.25,4534
"IMEG","Whiteandtribs.",2036,2596,1580,4209.5
"IMEG","Whiteandtribs.",2037,2604.5,1557.75,4234.75
"IMEG","Whiteandtribs.",2038,2620.5,1475.75,4248
"IMEG","Whiteandtribs.",2039,2597,1529.25,4120.5
"IMEG","Whiteandtribs.",2040,2451.5,1523.5,3959.75
"IMEG","Whiteandtribs.",2041,2572.5,1533.75,3921
"IMEG","Whiteandtribs.",2042,2586,1478,4176.25
"IMEG","Whiteandtribs.",2043,2634.5,1566.5,3996.25
"IMEG","Whiteandtribs.",2044,2447.5,1491.75,3979.25
"IMEG","Whiteandtribs.",2045,2519,1481.75,4117.5
"IMEG","Whiteandtribs.",2046,2665,1610.5,4084.25
"IMEG","Whiteandtribs.",2047,2536,1525,4061.25
"IMEG","Whiteandtribs.",2048,2477.5,1396.75,4168.5
"IMEG","Whiteandtribs.",2049,2418,1490,3999.25
"IMEG","Whiteandtribs.",2050,2598,1536.5,4188.5
"IMEG","Whiteandtribs.",2051,2508,1503.25,4130.25
"IMEG","YukonR.Teslinheadwaters",2024,4090,3666.75,4619
"IMEG","YukonR.Teslinheadwaters",2025,4970.5,4194.25,6028.25
"IMEG","YukonR.Teslinheadwaters",2026,5646.5,4315.5,7346.5
"IMEG","YukonR.Teslinheadwaters",2027,5698.5,4099,7908.5
"IMEG","YukonR.Teslinheadwaters",2028,6089,4444,8113.25
"IMEG","YukonR.Teslinheadwaters",2029,7530.5,5483.75,10151.75
"IMEG","YukonR.Teslinheadwaters",2030,7637,5494,10139
"IMEG","YukonR.Teslinheadwaters",2031,6912.5,4748.75,9111.75
"IMEG","YukonR.Teslinheadwaters",2032,4314.5,2752.5,6825.5
"IMEG","YukonR.Teslinheadwaters",2033,4119.5,2420,6339.5
"IMEG","YukonR.Teslinheadwaters",2034,3992.5,2526.75,6317.5
"IMEG","YukonR.Teslinheadwaters",2035,4012.5,2403,6449.5
"IMEG","YukonR.Teslinheadwaters",2036,4070.5,2387.5,6237.75
"IMEG","YukonR.Teslinheadwaters",2037,4221,2645.25,6616.5
"IMEG","YukonR.Teslinheadwaters",2038,4462.5,2778,6645.25
"IMEG","YukonR.Teslinheadwaters",2039,4284.5,2651.25,6493.5
"IMEG","YukonR.Teslinheadwaters",2040,4197,2581.75,6323.75
"IMEG","YukonR.Teslinheadwaters",2041,4352,2729.5,6473.75
"IMEG","YukonR.Teslinheadwaters",2042,4382,2636.25,6515.25
"IMEG","YukonR.Teslinheadwaters",2043,4529,2840.25,6481.25
"IMEG","YukonR.Teslinheadwaters",2044,4222,2652,6504.5
"IMEG","YukonR.Teslinheadwaters",2045,4367,2651,6748
"IMEG","YukonR.Teslinheadwaters",2046,4468.5,2872.75,6797.25
