"","Big.Salmon","MiddleYukonR.andtribs.","Nordenskiold","NorthernYukonR.andtribs.","Pelly","Stewart","UpperYukonR.","Whiteandtribs.","YukonR.Teslinheadwaters"
"Big.Salmon",0.042275807522861,0.036978801070963,0.033798149044459,0.0380084573261925,0.028664963068827,0.0418334841348659,0.0387131808712621,0.0272349034009777,0.0318462092975344
"MiddleYukonR.andtribs.",0.036978801070963,0.0416711612867117,0.0360296006713569,0.0427278264076622,0.0301140577321225,0.0476836101021119,0.0441586173815144,0.0292649757192136,0.0270320092142977
"Nordenskiold",0.033798149044459,0.0360296006713569,0.097639360427394,0.0408429008411052,0.0280266525257821,0.0532398495751363,0.0324809972055916,0.0355327101621386,0.0292080258499805
"NorthernYukonR.andtribs.",0.0380084573261925,0.0427278264076622,0.0408429008411052,0.0614274650700447,0.0364623278771781,0.0545793238080542,0.0569164780256745,0.0319090967796103,0.0315035640139376
"Pelly",0.028664963068827,0.0301140577321225,0.0280266525257821,0.0364623278771781,0.0326489060469354,0.0426737483943427,0.046499673938373,0.0214985074515253,0.031488849051956
"Stewart",0.0418334841348659,0.0476836101021119,0.0532398495751363,0.0545793238080542,0.0426737483943427,0.0904664275676164,0.0538340904135063,0.0336008980272849,0.0472915285261724
"UpperYukonR.",0.0387131808712621,0.0441586173815144,0.0324809972055916,0.0569164780256745,0.046499673938373,0.0538340904135063,0.133294992292749,0.0384998741695559,0.0643538294632159
"Whiteandtribs.",0.0272349034009777,0.0292649757192136,0.0355327101621386,0.0319090967796103,0.0214985074515253,0.0336008980272849,0.0384998741695559,0.039799281662259,0.0257731211055649
"YukonR.Teslinheadwaters",0.0318462092975344,0.0270320092142977,0.0292080258499805,0.0315035640139376,0.031488849051956,0.0472915285261724,0.0643538294632159,0.0257731211055649,0.0728675845785438
