CU_ID,YEAR,TOTAL_SPAWNERS,TOTAL_CATCH,RECRUITS,TOTAL_RUN,TOTAL_OCEAN_RUN,TOTAL_TERMINAL_RUN,MAINSTEM_CATCH,MAINSTEM_AGE_1,MAINSTEM_AGE_2,MAINSTEM_AGE_3,MAINSTEM_AGE_4,MAINSTEM_AGE_5,MAINSTEM_AGE_6,MAINSTEM_AGE_7,MAINSTEM_MORTALITY_RATE,OCEAN_CATCH,OCEAN_AGE_1,OCEAN_AGE_2,OCEAN_AGE_3,OCEAN_AGE_4,OCEAN_AGE_5,OCEAN_AGE_6,OCEAN_AGE_7,OCEAN_MORTALITY_RATE,TERMINAL_CATCH,TERMINAL_AGE_1,TERMINAL_AGE_2,TERMINAL_AGE_3,TERMINAL_AGE_4,TERMINAL_AGE_5,TERMINAL_AGE_6,TERMINAL_AGE_7,TERMINAL_MORTALITY_RATE,SPAWNERS_AGE_1,SPAWNERS_AGE_2,SPAWNERS_AGE_3,SPAWNERS_AGE_4,SPAWNERS_AGE_5,SPAWNERS_AGE_6,SPAWNERS_AGE_7,RUN_AGE_1,RUN_AGE_2,RUN_AGE_3,RUN_AGE_4,RUN_AGE_5,RUN_AGE_6,RUN_AGE_7,CATCH_AGE_1,CATCH_AGE_2,CATCH_AGE_3,CATCH_AGE_4,CATCH_AGE_5,CATCH_AGE_6,CATCH_AGE_7,TOTAL_MORTALITY_RATE,TOTAL_EXPLOITATION_RATE,OCEAN_EXPLOITATION_RATE
CK-70,1985,4010,12130,15219,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,1203,11136,3641,,,,,,,,,0.75,
CK-70,1986,4511,11389,20706,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,2881,7872,4571,,,,,,,,,0.72,
CK-70,1987,4517,18847,12568,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,1790,16580,4272,,,,,,,,,0.81,
CK-70,1988,3021,6767,14420,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,2094,2214,4761,,,,,,,,,0.69,
CK-70,1989,8304,14534,29499,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,5213,11988,3948,,,,,,,,,0.64,
CK-70,1990,5067,5443,13180,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,2489,5884,977,,,,,,,,,0.52,
CK-70,1991,7033,12213,28839,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,6463,9295,3163,,,,,,,,,0.63,
CK-70,1992,4184,12134,8881,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,2790,12232,535,,,,,,,,,0.74,
CK-70,1993,4079,7671,13723,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,3143,6294,1464,,,,,,,,,0.65,
CK-70,1994,5308,10641,8407,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,6259,7748,1486,,,,,,,,,0.67,
CK-70,1995,9347,19412,10805,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,3808,21414,2211,,,,,,,,,0.67,
