POP_ID,YEAR,TOTAL_SPAWNERS,SPAWNERS_AGE_1,SPAWNERS_AGE_2,SPAWNERS_AGE_3,SPAWNERS_AGE_4,SPAWNERS_AGE_5,SPAWNERS_AGE_6,SPAWNERS_AGE_7,pHOS,IS_ENHANCED
44597,1978,524,,,,,,,,,no
44597,1979,632,,,,,,,,,no
44597,1980,1436,,,,,,,,,no
44597,1981,2411,,,,,,,,,no
44597,1982,758,,,,,,,,,no
44597,1983,540,,,,,,,,,no
44597,1984,1044,,,,,,,,,no
44597,1985,801,,,,,,,,,no
44597,1986,745,,,,,,,,,no
44597,1987,891,,,,,,,,,no
44597,1988,765,,,,,,,,,no
44597,1989,1662,,,,,,,,,no
44597,1990,1806,,,,,,,,,no
44597,1991,1040,,,,,,,,,no
44597,1992,617,,,,,,,,,no
44597,1993,572,,,,,,,,,no
44597,1994,1764,,,,,,,,,no
44597,1995,1314,,,,,,,,,no
44597,1996,2565,,,,,,,,,no
44597,1997,1345,,,,,,,,,no
44597,1998,523,,,,,,,,,no
44597,1999,353,,,,,,,,,no
44597,2000,113,,,,,,,,,no
44597,2001,1020,,,,,,,,,no
44597,2002,1149,,,,,,,,,no
44597,2003,3075,,,,,,,,,no
44597,2004,762,,,,,,,,,no
44597,2005,952,,,,,,,,,no
44597,2006,1140,,,,,,,,,no
44597,2007,601,,,,,,,,,no
44597,2008,303,,,,,,,,,no
44597,2009,1827,,,,,,,,,no
44597,2010,656,,,,,,,,,no
44597,2011,405,,,,,,,,,no
44597,2005,5618,,,,,,,,,no
44597,2006,7308,,,,,,,,,no
44597,2007,4506,,,,,,,,,no
44597,2008,1329,,,,,,,,,no
44597,2009,9261,,,,,,,,,no
44597,2010,3817,,,,,,,,,no
44597,2011,5156,,,,,,,,,no
44597,2012,2584,,,,,,,,,no
44597,2013,3242,,,,,,,,,no
44597,2014,6321,,,,,,,,,no
44597,2015,10078,,,,,,,,,no
44597,2016,6761,,,,,,,,,no
44597,2017,5672,,,,,,,,,no
44597,2018,5159,,,,,,,,,no
44597,2019,3874,,,,,,,,,no
44597,2020,1635,,,,,,,,,no
44597,2021,1958,,,,,,,,,no
44597,2022,,,,,,,,,,no
44597,2023,1795,,,,,,,,,no
44597,2024,1899,,,,,,,,,no
44595,1995,826,,,,,,,,,no
44595,1996,,,,,,,,,,no
44595,1997,957,,,,,,,,,no
44595,1998,373,,,,,,,,,no
44595,1999,892,,,,,,,,,no
44595,2000,,,,,,,,,,no
44595,2001,,,,,,,,,,no
44595,2002,,,,,,,,,,no
44595,2003,1155,,,,,,,,,no
44595,2004,792,,,,,,,,,no
44595,2005,525,,,,,,,,,no
44595,2006,677,,,,,,,,,no
44595,2007,304,,,,,,,,,no
44595,2008,276,,,,,,,,,no
44595,2009,716,,,,,,,,,no
44595,2010,270,,,,,,,,,no
44595,2011,360,,,,,,,,,no
44595,2012,157,,,,,,,,,no
44595,2013,312,,,,,,,,,no
44595,2014,602,,,,,,,,,no
44595,2015,964,,,,,,,,,no
44595,2016,664,,,,,,,,,no
44595,2017,,,,,,,,,,no
44595,2018,612,,,,,,,,,no
44577,1998,127,,,,,,,,,no
44577,1999,237,,,,,,,,,no
44577,2003,85,,,,,,,,,no
44625,2009,5147,,,,,,,,,no
44625,2010,803,,,,,,,,,no
44625,2011,1181,,,,,,,,,no
44625,2012,,,,,,,,,,no
44625,2013,,,,,,,,,,no
44625,2014,,,,,,,,,,no
44625,2015,,,,,,,,,,no
44625,2016,,,,,,,,,,no
44625,2017,,,,,,,,,,no
44625,2018,,,,,,,,,,no
44625,2019,,,,,,,,,,no
44625,2020,470,,,,,,,,,no
44625,2021,855,,,,,,,,,no
44625,2022,253,,,,,,,,,no
44625,2023,280,,,,,,,,,no
44625,2024,285,,,,,,,,,no
44583,2004,155,,,,,,,,,no
44583,2005,340,,,,,,,,,no
44583,2006,34,,,,,,,,,no
44583,2007,47,,,,,,,,,no
44583,2008,35,,,,,,,,,no
44583,2009,82,,,,,,,,,no
44583,2010,1,,,,,,,,,no
44583,2011,247,,,,,,,,,no
44583,2012,213,,,,,,,,,no
44583,2013,41,,,,,,,,,no
44583,2014,245,,,,,,,,,no
44583,2015,143,,,,,,,,,no
44583,2016,21,,,,,,,,,no
44583,2017,195,,,,,,,,,no
44583,2018,23,,,,,,,,,no
44583,2019,5,,,,,,,,,no
44583,2020,6,,,,,,,,,no
44583,2021,19,,,,,,,,,no
44583,2022,1,,,,,,,,,no
44583,2023,26,,,,,,,,,no
44583,2024,75,,,,,,,,,no
44634,2009,319,,,,,,,,,no
44634,2010,2,,,,,,,,,no
44634,2011,67,,,,,,,,,no
